,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
0,0,540,540,310.30882920786564,356.10738488987465,328.36717806636955,0.0,328.36717806636955,328.36717806636955,2059.534392470572,339.58698780073405
0,660,1500,840,362.0906572965059,353.50202114511103,276.8188281322608,611.6289665907672,888.447794723028,276.8188281322608,354.7284399277956,354.41229501114043
0,2220,2880,660,252.41740428740752,240.92057986247647,977.5115740007541,2337.915804952461,3315.427378953215,977.5115740007541,279.27263168608073,280.0230972526834
0,2460,2520,60,292.59488863125006,292.59488863125006,154.4951307430565,9068.641562983674,9223.13669372673,154.4951307430565,658.6512393787712,658.6512393787712
0,960,2280,1320,241.26344416823548,225.93213741641375,1016.2055781717279,1497.028629845415,2513.234208017143,1016.2055781717279,527.051295780929,528.99413127402
0,2520,2880,360,375.0569781115492,397.39170591118716,382.82796908695127,4287.283001734403,4670.110970821354,382.82796908695127,351.5949255041094,344.58768959357315
0,0,60,60,43.700843315398835,43.700843315398835,114.26332973366063,0.0,114.26332973366063,114.26332973366063,15699.051887714444,15699.051887714444
0,720,1200,480,408.7036995697719,402.7038165945579,857.805359824622,1281.005426170831,2138.810785995453,857.805359824622,588.3515858437933,582.7588743790982
0,900,960,60,442.69114813799877,442.69114813799877,234.41695618600716,4940.35556562343,5174.772521809437,234.41695618600716,916.6704173665022,916.6704173665022
0,0,1080,1080,252.0889973461463,249.68975158281492,1197.3723096547487,0.0,1197.3723096547487,1197.3723096547487,1436.8624863899977,564.3539387942284
0,1320,1680,360,256.0290561430345,254.10279493682418,796.6588781048372,3226.470530622039,4023.129408726876,796.6588781048372,431.9084649771815,431.75842265104563
0,1860,2880,1020,336.9544620103285,368.0152277252066,1698.1903727972176,5877.796227438705,7575.986600235922,1698.1903727972176,354.61031554498913,358.0221728318449
0,0,840,840,103.91579801186553,102.44140472406588,4453.786974765055,0.0,4453.786974765055,4453.786974765055,15695.511395971796,15707.571552443627
0,13620,14280,660,352.4080745230018,385.8269516224062,3490.1054276012437,71742.62796269958,75232.73339030083,3490.1054276012437,734.3273427522561,739.8172601483813
0,15840,16440,600,166.9417939046672,137.04532222455018,3167.314834999401,83429.11292384558,86596.42775884498,3167.314834999401,1261.3770332694342,1233.1015953991746
0,17400,20280,2880,181.88872677896248,171.033465851639,15196.917344863105,91649.87839166893,106846.79573653203,15196.917344863105,1445.6650006488007,1390.3239084147144
0,1500,1560,60,358.2428287158888,358.2428287158888,145.96663931515104,8472.434971117318,8618.40161043247,145.96663931515104,1090.441870684448,1090.441870684448
0,240,1080,840,310.2930734155413,336.2230597531317,1883.9014849677826,522.1313594013443,2406.032844369127,1883.9014849677826,937.2458274805604,895.3444436185325
0,1200,1680,480,205.70751373762556,203.8378165453551,1581.1004124367737,2661.7844873767735,4242.884899813547,1581.1004124367737,1029.770166806836,1023.2578205103459
0,0,480,480,207.7446508433577,215.9459363192813,451.8713577554294,0.0,451.8713577554294,451.8713577554294,2485.820659576356,554.5749757219364
0,660,1680,1020,102.63397652098084,111.88067349212248,1288.9516906239419,2169.349192843518,3458.3008834674597,1288.9516906239419,493.0525540477004,485.27628555341624
0,1920,2220,300,355.92872465444304,384.3082135034852,203.61419063787707,6330.153472248785,6533.767662886662,203.61419063787707,558.2678450560531,555.6025007038882
0,2580,2640,60,421.9525453004225,421.9525453004225,101.33720351165903,24653.5110772476,24754.84828075926,101.33720351165903,454.88453872484297,454.88453872484297
