,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
0,0,2880,2880,349.75023247390646,361.2942505418646,3315.427378953215,0.0,3315.427378953215,3315.427378953215,653.4259060354981,337.37440257334885
0,0,1020,1020,3095.596042544947,3310.298698830996,6357.355475614366,0.0,6357.355475614366,6357.355475614366,7268.975331042513,6650.351700880142
0,1200,1260,60,2652.858363069469,2652.858363069469,2882.354455781984,17908.652204889317,20791.0066606713,2882.354455781984,6218.998141359373,6218.998141359373
0,1380,1680,300,2545.9019051672426,2596.79683736735,4521.121500528403,21669.67315968051,26190.794660208914,4521.121500528403,6393.549485692672,6397.3801166220155
0,360,1680,1320,2731.1195752400254,2778.744861406486,9763.31681399458,1934.9333803632815,11698.25019435786,9763.31681399458,6619.753623842226,6633.4434077519145
0,1860,2340,480,2035.9982357982046,2112.599668484683,3049.6302881089214,26591.45748068791,29641.08776879683,3049.6302881089214,5271.9248577935905,5317.748695848793
0,0,2520,2520,1332.8988902658907,1196.4483429446777,17926.617651870587,0.0,17926.617651870587,17926.617651870587,871.7232315973793,494.6942896944808
0,0,2880,2880,849.7146936608275,915.9503960702918,9922.919824310455,0.0,9922.919824310455,9922.919824310455,1035.758957063571,679.0579366274384
0,0,2880,2880,400.7181136985239,354.5596868857536,4670.110970821354,0.0,4670.110970821354,4670.110970821354,809.4182917051452,512.8038491962286
0,0,2880,2880,1061.9804959071182,515.784732725749,10029.095025033934,0.0,10029.095025033934,10029.095025033934,968.2282209124287,631.938878967856
0,0,1080,1080,1236.6393678325799,1119.1556528025985,6878.058946740305,0.0,6878.058946740305,6878.058946740305,4948.812558894478,6233.995775235236
0,1260,2880,1620,1070.8089593043705,1052.2275204445561,8935.633191926241,20348.03975718171,29283.67294910795,8935.633191926241,466.829425195598,449.58446308861136
0,0,2880,2880,352.5498428612693,335.2407325585074,7575.986600235922,0.0,7575.986600235922,7575.986600235922,785.0846993515457,438.234327100702
0,0,2760,2760,1629.2707292426414,1596.1326179809025,14656.428183687734,0.0,14656.428183687734,14656.428183687734,12456.885670769048,11061.924068346043
0,6420,6780,360,3443.0879660674223,3442.89555025512,1858.742721916824,33861.38405007621,35720.12677199303,1858.742721916824,6406.670303890423,6410.161618393327
0,8880,9180,300,3523.585991980201,3522.6553295551507,1515.0859763531698,46801.59835700426,48316.68433335743,1515.0859763531698,5039.063505310847,4941.670332004965
0,9300,10380,1080,3005.4546723679236,2912.940782377284,5612.992223289009,49035.044573820596,54648.036797109606,5612.992223289009,4750.7331828716,4705.124597491391
