,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled
ew9704_478,,,2880.0,,,3315.427378953215,,,
ew9704_164,,,2880.0,,,73597.49567193016,,,
ew9704_135,,,2880.0,,,32619.563491310615,,,
ew9704_633,,,2880.0,,,18515.315973015993,,,
ew9704_400,,,2880.0,,,9922.919824310455,,,
ew9704_391,,,2880.0,,,4670.110970821354,,,
ew9704_625,,,2880.0,,,10029.095025033934,,,
ew9704_504,,,2880.0,,,29283.67294910795,,,
ew9704_341,,,2880.0,,,7575.986600235922,,,
wi933014_37,,,29640.0,,,156084.01948166487,,,
ew9704_298,,,2880.0,,,58315.98171529288,,,
ew9704_362,,,2880.0,,,10921.742365934238,,,
ew9704_879,,,2880.0,,,32854.81176478664,,,
ew9704_829,,,2880.0,,,18053.602655162376,,,
ew9704_747,,,2880.0,,,6678.9827644457,,,
ew9704_198,,,2880.0,,,15308.589562562847,,,
ew9704_591,,,2880.0,,,25277.263083593636,,,
ew9704_654,,,2880.0,,,17795.946514532432,,,
ew9704_784,,,2880.0,,,2614.3996697775415,,,
ew9704_229,,,2880.0,,,47605.64364102221,,,
ew9704_664,,,2880.0,,,48322.161256954525,,,
index17_106,,,421620.0,,,717608.716705459,,,
ew9704_515,,,2880.0,,,53695.33841301045,,,
ew9704_169,,,2880.0,,,44854.30853246232,,,
ew9704_572,,,2880.0,,,1428.0669770385728,,,
ew9704_760,,,2880.0,,,6561.759734929638,,,
ew9704_683,,,2880.0,,,38619.841018564446,,,
ew9704_797,,,2880.0,,,1194.394309319213,,,
ew9704_724,,,2880.0,,,12113.818714082206,,,
ew9704_263,,,2880.0,,,8113.681777405795,,,
ew9704_838,,,2880.0,,,38130.43510139221,,,
wi933014_14,,,45780.0,,,238641.68431352027,,,
ew9704_189,,,2880.0,,,73915.42797437811,,,
ew9704_837,,,2880.0,,,68021.43285053183,,,
ew9704_401,,,2880.0,,,7966.270475631521,,,
ew9704_426,,,2880.0,,,7015.9060330561215,,,
ew9704_201,,,2880.0,,,46572.23953468418,,,
ew9704_392,,,2880.0,,,1685.4251128699268,,,
index17_85,,,124020.0,,,4240364.800611522,,,
wi933014_75,,,7980.0,,,42185.04828126493,,,
ew9704_410,,,2880.0,,,9402.807657781317,,,
ew9704_538,,,2880.0,,,35782.13923593055,,,
ew9704_774,,,2880.0,,,1321.43720496197,,,
ew9704_579,,,2880.0,,,22097.95962589495,,,
ew9704_632,,,2880.0,,,3302.032930641407,,,
ew9704_601,,,2880.0,,,9263.585009188344,,,
wi933014_24,,,24900.0,,,114576.85260099395,,,
ew9704_234,,,2880.0,,,66099.3567125955,,,
ew9704_864,,,2880.0,,,39961.21637491788,,,
ew9704_460,,,2880.0,,,19238.125021758653,,,
ew9704_878,,,2880.0,,,63359.08425683209,,,
ew9704_486,,,2880.0,,,3039.159662648527,,,
ew9704_238,,,2880.0,,,53538.2990953078,,,
ew9704_502,,,2880.0,,,72924.0109168585,,,
ew9704_735,,,2880.0,,,15619.385726808221,,,
ew9704_151,,,2880.0,,,44542.45051636411,,,
ew9704_670,,,2880.0,,,38292.57680202588,,,
ew9704_866,,,2880.0,,,69697.8804735157,,,
ew9704_468,,,2880.0,,,25187.782711162497,,,
ew9704_480,,,2880.0,,,14222.041113419216,,,
ew9704_231,,,2880.0,,,61381.11359466896,,,
ew9704_269,,,2880.0,,,4490.621777946028,,,
ew9704_901,,,2880.0,,,4042.5485398849714,,,
ew9704_488,,,2880.0,,,21893.079846739387,,,
ew9704_359,,,2880.0,,,9291.793078302442,,,
ew9704_190,,,2880.0,,,62582.531088237505,,,
ew9704_172,,,2880.0,,,27522.36646215798,,,
ew9704_503,,,2880.0,,,60186.6311346885,,,
ew9704_649,,,2880.0,,,25701.05649464667,,,
ew9704_156,,,2880.0,,,1816.9763612571655,,,
ew9704_862,,,2880.0,,,54449.834207287575,,,
wi933014_29,,,28560.0,,,147849.17277296082,,,
ew9704_834,,,2880.0,,,77424.10815548357,,,
ew9704_586,,,2880.0,,,23384.51473258459,,,
ew9704_594,,,2880.0,,,13096.956988195188,,,
ew9704_674,,,2880.0,,,63076.86431578039,,,
wi933014_63,,,7080.0,,,33649.53991970562,,,
ew9704_689,,,2880.0,,,10217.049174720929,,,
ew9704_228,,,2880.0,,,33554.930113083654,,,
ew9704_626,,,2880.0,,,1919.1312181734368,,,
ew9704_547,,,2880.0,,,4558.001860086252,,,
ew9704_841,,,2880.0,,,37221.640933531526,,,
ew9704_722,,,2880.0,,,20385.78745714693,,,
ew9704_209,,,2880.0,,,44449.41461629181,,,
ew9704_592,,,2880.0,,,12138.751589720798,,,
ew9704_703,,,2880.0,,,17774.9985775146,,,
ew9704_420,,,2880.0,,,13694.14580006879,,,
ew9704_427,,,2880.0,,,17836.391643790903,,,
ew9704_457,,,2880.0,,,10497.22546771911,,,
ew9704_260,,,2880.0,,,2908.335865172238,,,
ew9704_855,,,2880.0,,,50826.34502750585,,,
ew9704_660,,,2880.0,,,42205.702597424905,,,
ew9704_464,,,2880.0,,,20014.801493348492,,,
ew9704_657,,,2880.0,,,69644.9987122393,,,
ew9704_145,,,2880.0,,,46038.35552625285,,,
ew9704_173,,,2880.0,,,33701.85638524929,,,
ew9704_245,,,2880.0,,,41421.235489429586,,,
ew9704_852,,,2880.0,,,60854.300644636096,,,
ew9704_261,,,2880.0,,,2342.5995990721967,,,
ew9704_868,,,2880.0,,,32561.688072247278,,,
ew9704_248,,,2880.0,,,31398.45404138632,,,
ew9704_641,,,2880.0,,,8862.009891248419,,,
ew9704_467,,,2880.0,,,13866.394461548301,,,
ew9704_200,,,2880.0,,,46047.531761212515,,,
ew9704_268,,,2880.0,,,1597.4392143213045,,,
ew9704_495,,,2880.0,,,40081.25168098428,,,
ew9704_176,,,2880.0,,,51734.684175983035,,,
ew9704_366,,,2880.0,,,12389.725951913166,,,
ew9704_283,,,2880.0,,,15893.860960623655,,,
ew9704_445,,,2880.0,,,3838.612329381979,,,
ew9704_413,,,2880.0,,,3951.692021193607,,,
index17_84,,,113400.0,,,428986.8664879583,,,
ew9704_472,,,2880.0,,,6490.838312006842,,,
wi933014_13,,,20520.0,,,107025.14998510655,,,
ew9704_589,,,2880.0,,,22911.31127067666,,,
ew9704_851,,,2880.0,,,32569.722654620677,,,
ew9704_566,,,2880.0,,,4490.951330440368,,,
ew9704_303,,,2880.0,,,56823.95756121802,,,
wi933014_25,,,27780.0,,,144561.99457132892,,,
ew9704_357,,,2880.0,,,23439.39190333274,,,
ew9704_858,,,2880.0,,,58083.733675987976,,,
ew9704_493,,,2880.0,,,8555.593696248492,,,
ew9704_216,,,2880.0,,,44634.02784156815,,,
ew9704_217,,,2880.0,,,51735.171106186455,,,
ew9704_610,,,2880.0,,,12729.05804096882,,,
ew9704_744,,,2880.0,,,16276.246866141679,,,
ew9704_775,,,2880.0,,,1566.6416036545836,,,
ew9704_568,,,2880.0,,,2942.653398919729,,,
ew9704_596,,,2880.0,,,21015.320278863284,,,
ew9704_718,,,2880.0,,,5245.483427834153,,,
ew9704_487,,,2880.0,,,7722.208136453064,,,
ew9704_606,,,2880.0,,,21104.368317015225,,,
ew9704_734,,,2880.0,,,19030.084137719565,,,
wi933014_7,,,50340.0,,,322277.2730868767,,,
wi933014_56,,,7740.0,,,34912.95300061832,,,
ew9704_167,,,2880.0,,,57215.94805727489,,,
ew9704_371,,,2880.0,,,2934.1080238921736,,,
wi933014_51,,,8040.0,,,34647.911510949816,,,
ew9704_165,,,2880.0,,,30175.73707984951,,,
ew9704_521,,,2880.0,,,49785.978659206296,,,
ew9704_252,,,2880.0,,,4861.429555397098,,,
ew9704_311,,,2880.0,,,62843.14901238965,,,
ew9704_695,,,2880.0,,,16945.362136062093,,,
ew9704_877,,,2880.0,,,32762.554691663547,,,
ew9704_567,,,2880.0,,,973.0423265400124,,,
ew9704_297,,,2880.0,,,20582.06101545248,,,
wi933014_41,,,38160.0,,,182365.79458599872,,,
wi933014_31,,,28560.0,,,150690.5710957074,,,
ew9704_276,,,2880.0,,,29323.569656196654,,,
ew9704_550,,,2880.0,,,8946.344387585734,,,
ew9704_219,,,2880.0,,,45562.345891670695,,,
ew9704_880,,,2880.0,,,32831.384643033176,,,
ew9704_522,,,2880.0,,,34250.30446374897,,,
ew9704_726,,,2880.0,,,21196.46281691964,,,
ew9704_425,,,2880.0,,,13380.119322337585,,,
ew9704_180,,,2880.0,,,50751.95832180149,,,
ew9704_193,,,2880.0,,,34925.97763129842,,,
ew9704_307,,,2880.0,,,64457.52758344701,,,
wi933014_73,,,8820.0,,,44859.15117770082,,,
wi933014_30,,,28140.0,,,143807.64755066656,,,
wi933014_72,,,8640.0,,,43427.95816942673,,,
ew9704_676,,,2880.0,,,54020.14996037566,,,
wi933014_36,,,56220.0,,,286278.85403193446,,,
ew9704_859,,,2880.0,,,65305.18191891899,,,
ew9704_672,,,2880.0,,,39154.044833693595,,,
ew9704_471,,,2880.0,,,28307.219318365966,,,
ew9704_139,,,2880.0,,,55344.83579772721,,,
ew9704_175,,,2880.0,,,44758.93867420504,,,
ew9704_296,,,2880.0,,,46263.849303963325,,,
ew9704_350,,,2880.0,,,2794.4800124176304,,,
ew9704_780,,,2880.0,,,3069.381885289167,,,
ew9704_813,,,2880.0,,,4258.321717390615,,,
ew9704_439,,,2880.0,,,2126.7819962276194,,,
ew9704_414,,,2880.0,,,2496.202605320239,,,
ew9704_333,,,2880.0,,,29843.920917816813,,,
ew9704_455,,,2880.0,,,13808.223222520402,,,
wi933014_23,,,112080.0,,,463551.3502655008,,,
ew9704_644,,,2880.0,,,1832.4955023987798,,,
wi933014_78,,,3420.0,,,15970.330365866002,,,
ew9704_479,,,2880.0,,,3748.584251097215,,,
ew9704_395,,,2880.0,,,1612.6125755288333,,,
ew9704_463,,,2880.0,,,30513.66604982269,,,
index17_100,,,7560.0,,,17658.94304780512,,,
ew9704_598,,,2880.0,,,13392.768062368623,,,
ew9704_661,,,2880.0,,,75844.26371797384,,,
ew9704_560,,,2880.0,,,2098.3609757476816,,,
ew9704_714,,,2880.0,,,12747.831896649308,,,
ew9704_842,,,2880.0,,,57278.38661791321,,,
ew9704_212,,,2880.0,,,48850.01158981541,,,
index17_104,,,72300.0,,,17444.010800311553,,,
ew9704_388,,,2880.0,,,4102.740045744196,,,
ew9704_812,,,2880.0,,,3732.8437589709715,,,
ew9704_811,,,2880.0,,,6522.397386380591,,,
ew9704_331,,,2880.0,,,29297.411437680275,,,
ew9704_513,,,2880.0,,,25469.56772314015,,,
ew9704_450,,,2880.0,,,38408.429077048335,,,
ew9704_563,,,2880.0,,,18737.019491886982,,,
ew9704_809,,,2880.0,,,16752.366822480857,,,
wi933014_16,,,26820.0,,,157803.14906073152,,,
ew9704_896,,,2880.0,,,33621.209901786184,,,
ew9704_161,,,2880.0,,,53044.26172331987,,,
ew9704_520,,,2880.0,,,29915.44783633816,,,
ew9704_389,,,2880.0,,,5879.34811305824,,,
ew9704_599,,,2880.0,,,18732.74109310425,,,
ew9704_527,,,2880.0,,,48572.176440849835,,,
ew9704_782,,,2880.0,,,4230.385318025905,,,
index17_103,,,236700.0,,,200466.44788319015,,,
ew9704_170,,,2880.0,,,32617.721299966808,,,
ew9704_850,,,2880.0,,,69081.13157990458,,,
ew9704_739,,,2880.0,,,24169.200319157317,,,
ew9704_305,,,2880.0,,,71649.34679901392,,,
ew9704_725,,,2880.0,,,45461.66295996075,,,
ew9704_312,,,2880.0,,,58961.73021619796,,,
ew9704_863,,,2880.0,,,96801.30876357896,,,
ew9704_282,,,2880.0,,,64813.31377103058,,,
ew9704_717,,,2880.0,,,9446.737528534519,,,
ew9704_348,,,2880.0,,,3106.4011470683045,,,
ew9704_612,,,2880.0,,,12992.929842609869,,,
ew9704_732,,,2880.0,,,29633.980552582285,,,
ew9704_640,,,2880.0,,,5723.419138452752,,,
ew9704_148,,,2880.0,,,49126.15302792347,,,
ew9704_394,,,2880.0,,,3904.0843750802655,,,
wi933014_4,,,136320.0,,,839001.7739592498,,,
ew9704_456,,,2880.0,,,31982.718106931432,,,
ew9704_419,,,2880.0,,,21834.518054166387,,,
ew9704_500,,,2880.0,,,49629.488494192185,,,
ew9704_133,,,2880.0,,,49420.00654657649,,,
ew9704_163,,,2880.0,,,49926.84393636237,,,
ew9704_334,,,2880.0,,,15145.737139240442,,,
ew9704_241,,,2880.0,,,46412.69618052018,,,
ew9704_677,,,2880.0,,,65170.557474945344,,,
ew9704_370,,,2880.0,,,4499.207067137493,,,
ew9704_407,,,2880.0,,,11904.07907800056,,,
ew9704_749,,,2880.0,,,1223.7905285782915,,,
ew9704_730,,,2880.0,,,3594.1421136277318,,,
ew9704_848,,,2880.0,,,52414.60031823386,,,
ew9704_630,,,2880.0,,,2269.630766575176,,,
ew9704_840,,,2880.0,,,80389.4880964578,,,
ew9704_692,,,2880.0,,,17548.420593579645,,,
ew9704_365,,,2880.0,,,20933.67899042052,,,
ew9704_489,,,2880.0,,,2495.647779292036,,,
ew9704_682,,,2880.0,,,17711.22123625465,,,
ew9704_124,,,2880.0,,,37994.8347124309,,,
index17_87,,,51960.0,,,183803.57276479187,,,
ew9704_449,,,2880.0,,,67102.16836005314,,,
ew9704_291,,,2880.0,,,67564.70149525712,,,
ew9704_358,,,2880.0,,,11458.809203934581,,,
ew9704_690,,,2880.0,,,28157.125178924907,,,
ew9704_561,,,2880.0,,,2054.8364674767836,,,
ew9704_675,,,2880.0,,,32264.134243544857,,,
ew9704_181,,,2880.0,,,59767.34557577782,,,
ew9704_512,,,2880.0,,,30914.78840666044,,,
ew9704_279,,,2880.0,,,33706.603827277715,,,
ew9704_494,,,2880.0,,,7491.705598562884,,,
ew9704_620,,,2880.0,,,3695.6141179583465,,,
ew9704_443,,,2880.0,,,3238.8056020678437,,,
wi933014_9,,,210300.0,,,1088186.4844800902,,,
