,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
0,60,2880,2820,352.08238789254347,358.5702284973617,3279.59714647446,22.24174459076584,3301.8388910652257,3279.59714647446,335.30794423924146,342.48690675326037
0,2280,2880,600,4745.148462422828,3379.422815490001,24016.112792949156,49571.8402121709,73587.95300512006,24016.112792949156,320.31779537445243,320.4499141018996
0,720,960,240,869.5399190093401,894.8084997258022,475.13205774205835,5364.458580667329,5839.590638409388,475.13205774205835,445.37465829284383,445.48099492887536
0,1800,1980,180,2091.659206377945,1867.606622040371,1325.4914732604848,10891.837858710533,12217.329331971017,1325.4914732604848,371.2989667219292,377.72438689160094
0,2100,2580,480,2370.7378475345377,1890.394276883946,5559.392252270709,12437.260269733362,17996.65252200407,5559.392252270709,328.46579233259604,333.3841773939
0,600,660,60,694.5102022701074,694.5102022701074,195.9915761519519,991.6912762542283,1187.6828524061802,195.9915761519519,446.712306298407,446.712306298407
0,2460,2880,420,392.00544780738016,404.2834059692283,600.0654062400176,4049.825367853757,4649.890774093775,600.0654062400176,361.87217874467126,347.19896842462947
0,1500,1560,60,866.9036630886243,866.9036630886243,331.14148844342344,21770.720520860054,22101.862009303477,331.14148844342344,391.06670522315426,391.06670522315426
0,1980,2100,120,1355.0491070118621,1355.0491070118621,653.6469653720924,24428.993843266493,25082.640808638585,653.6469653720924,349.54043652922974,349.54043652922974
0,2220,2400,180,992.7432538870647,1023.024555351807,952.353330608672,25737.108928461137,26689.46225906981,952.353330608672,442.8755705855677,446.3980457573141
0,2580,2640,60,528.7088519183396,528.7088519183396,322.2405749937134,27640.331724692624,27962.572299686337,322.2405749937134,441.0744896766813,441.0744896766813
0,1320,2880,1560,369.0468081211277,340.48351571095134,4347.993209367212,3226.1183162026223,7574.111525569834,4347.993209367212,373.0244090156551,371.99193973139825
0,720,960,240,261.8767132230399,262.19954055312786,1366.0313678182465,4010.825636441,5376.857004259246,1366.0313678182465,419.34180083566434,418.9684701157165
0,1080,1560,480,381.51980202077203,372.86700010149264,2579.0542501395967,6043.20519431782,8622.259444457417,2579.0542501395967,428.5557691129148,434.1710829244796
0,2160,2880,720,6742.482709398078,6155.785846067969,28976.592018971078,29348.52399822773,58325.11601719881,28976.592018971078,324.8650455695869,313.1676990103373
0,2160,2220,60,865.0313660218405,865.0313660218405,387.3449325940637,28234.90916078551,28622.254093379575,387.3449325940637,439.9152384600124,439.9152384600124
0,2160,2520,360,3527.8384072903423,3532.4597893801565,2247.0740557743884,13551.735565241306,15798.809621015695,2247.0740557743884,319.04627846849985,292.833391942503
0,2640,2880,240,2407.663544294752,2415.120947974753,1507.2578775803522,16546.787148475323,18054.045026055675,1507.2578775803522,155.87458462807388,151.06696162455998
0,540,720,180,909.3375868109971,909.8167880305826,354.59248154947636,1075.942696339593,1430.5351778890695,354.59248154947636,438.1444376576121,437.6348083172597
0,2400,2880,480,1037.8796388542605,490.54499248521006,3006.8414995846942,22286.003110027963,25292.844609612657,3006.8414995846942,394.82140146232723,399.6336594187852
0,1620,1920,300,552.0450842824292,551.547073155687,1861.4739304623308,10035.375883662065,11896.849814124396,1861.4739304623308,399.6131927941118,398.7440673564442
0,2100,2340,240,283.306661477063,293.8970442204652,1467.90728500544,12993.821915403641,14461.729200409081,1467.90728500544,384.05351486634856,383.7622359694253
0,2520,2700,180,463.98312370364374,457.9402463847144,1106.6768579417003,15566.361604662794,16673.038462604494,1106.6768579417003,436.22023991982024,438.2831499082815
0,60,2880,2820,246.0542566384018,226.37591399181173,2573.132544088457,25.362334320634464,2598.4948784090916,2573.132544088457,298.90875194151386,295.7115206700367
0,2160,2520,360,8350.286411970203,7388.298205069437,23629.67485021364,22056.754058524755,45686.428908738395,23629.67485021364,316.4652112706187,309.86773377504153
0,300,2880,2580,4129.111851849031,4687.761695417941,46375.908323027026,1953.5203558058395,48329.42867883287,46375.908323027026,199.72483001568844,173.3629458433255
0,52440,53100,660,10442.22229961022,10434.76345829715,3517.4140921472463,32654.120216191648,36171.534308338894,3517.4140921472463,301.9113688248903,301.98606718076934
0,53940,54300,360,11243.890899495387,11249.762586873228,548.0078152221104,39303.582757032214,39851.590572254325,548.0078152221104,353.29301359269977,356.83150549277536
0,73680,74160,480,36505.595835650965,36490.1710172789,1229.9578300439898,51983.13428386907,53213.09211391306,1229.9578300439898,359.095384647184,356.96463839237987
0,84900,89820,4920,52403.803219820955,52717.54707282693,19551.01463502698,94594.44901318624,114145.46364821322,19551.01463502698,360.8267194998117,365.9287617188602
0,90000,90120,120,48760.72476997063,48760.72476997063,428.3678817801556,114741.327245643,115169.69512742315,428.3678817801556,436.3623545220703,436.3623545220703
0,101820,103440,1620,48433.78388983373,48145.45680341683,6970.768769483577,163465.45597185212,170436.2247413357,6970.768769483577,313.2355898681271,315.7497035375051
0,108180,108900,720,47341.13140941193,47393.02454655782,3229.714526672469,189601.12681116775,192830.84133784022,3229.714526672469,383.8250071575415,388.5321374541969
0,110640,111480,840,48068.13033407148,48064.776149465266,3167.0620418041653,201349.95680660152,204517.01884840569,3167.0620418041653,346.73108736184315,345.7556999232284
0,123600,124020,420,47601.963706454924,47628.77140213952,1576.1293110391416,256037.38310368193,257613.51241472107,1576.1293110391416,347.48783372308674,348.26229375240666
0,126000,127020,1020,43600.33402146174,43599.947659225065,4743.57470038801,264229.2719095445,268972.8466099325,4743.57470038801,401.2530697221884,401.3780219711124
0,127560,128820,1260,38052.8754492373,38034.859829273286,5771.605864621641,271779.2012072483,277550.80707186996,5771.605864621641,334.32500425120116,318.53203126744944
0,133440,133740,300,32156.258879692392,32133.732797431596,1112.8108019244974,296545.419838136,297658.2306400605,1112.8108019244974,321.9818573882132,322.6237253665373
0,149340,149820,480,39752.146297035106,39754.458731561695,1981.908923435607,363795.4418506036,365777.3507740392,1981.908923435607,382.27606234989,376.4735454888168
0,151860,152280,420,41815.443539768734,41815.704132133535,1866.2648704723106,375341.25355656317,377207.5184270355,1866.2648704723106,357.89787182525487,357.34885586043237
0,156480,156840,360,44887.59331496551,44885.66247244862,1735.8848570311093,393978.78075085505,395714.66560788616,1735.8848570311093,371.2078870889074,368.0412527749382
0,245880,246960,1080,32634.92104891863,32596.52687208527,924.3887218604796,471675.96613049106,472600.35485235153,924.3887218604796,289.4522904728235,286.9226463304858
0,295200,297780,2580,56420.70922885929,56227.95188492861,7790.817211024347,540200.4671161156,547991.28432714,7790.817211024347,271.1305301176521,250.5636376580139
0,322620,322920,300,46999.06937701457,46959.634580102575,1155.7199875528459,584774.5742053085,585930.2941928613,1155.7199875528459,396.6867913261432,395.1878501863751
0,373860,374520,660,59733.44384924073,59753.398249218415,307.9214878299972,661710.2577890299,662018.1792768599,307.9214878299972,369.27110896635116,360.84966899163214
0,1740,2760,1020,4938.7276731304455,3311.4789567352263,29046.622536940627,23562.680265525236,52609.30280246586,29046.622536940627,344.72920524605735,350.93803106006544
0,2520,2880,360,3517.872964445576,3558.402578899377,1896.2521370047834,42858.90032387922,44755.152460884005,1896.2521370047834,267.83011217996506,271.02250145404037
0,60,2880,2820,127.19151389859206,135.69345637689648,1398.0053329150496,37.67867486449966,1435.6840077795493,1398.0053329150496,304.9200735680225,307.0754398531079
0,1920,2040,120,228.34005032344572,228.34005032344572,451.7600865593888,1616.6813649628618,2068.4414515222506,451.7600865593888,447.39222603090366,447.39222603090366
0,2520,2880,360,264.83490134570326,286.3948231406364,525.8659342455867,6056.308827305711,6582.174761551298,525.8659342455867,399.03022227372804,397.9524463973777
0,1560,2880,1320,3067.147405893786,2704.723857434541,29157.46452447561,9467.81214633811,38625.27667081372,29157.46452447561,223.15046111704348,223.12153252858673
0,60,2880,2820,161.6568340447471,145.35346397146594,1170.3084785960427,21.03016858972274,1191.3386471857655,1170.3084785960427,227.97179249707156,245.1352159369609
0,4320,1215900,1211580,3813495.7755135368,4071211.6911078924,1175589732.5534475,42153.16448461201,1175631885.717932,1175589732.5534475,52.52388686292378,10.059232589561173
0,1020,1260,240,473.2631875824688,471.19532834174976,1040.7772618843446,4255.182837539913,5295.960099424257,1040.7772618843446,390.30708402352656,389.82092836624304
0,1620,2400,780,550.3849608629099,508.3195296961621,3236.672200793004,6869.364448123448,10106.036648916452,3236.672200793004,322.1131323718965,337.5282441287706
0,2700,2880,180,3085.987981713033,3083.38316574255,735.2878874653652,11367.855554534064,12103.14344199943,735.2878874653652,318.9905342605514,299.6968588017325
0,2220,2340,120,5770.26320546833,5770.26320546833,757.0028565823523,33969.29875304245,34726.3016096248,757.0028565823523,426.84129828016364,426.84129828016364
0,2640,2880,240,5302.309013030083,5315.625746547907,1520.167664867302,36604.90869323281,38125.07635810011,1520.167664867302,305.7821435076212,302.7366359668356
0,40680,41100,420,742.0988826162954,718.9931327419592,3011.264041398361,202300.54730933567,205311.81135073403,3011.264041398361,393.75166223039525,387.4529442008225
0,1320,1440,120,404.87198460334685,404.87198460334685,728.7868095021531,8451.820504108548,9180.6073136107,728.7868095021531,430.2772959841834,430.2772959841834
0,1800,1860,60,9283.745573753215,9283.745573753215,4156.3186612848585,27330.62085187647,31486.939513161327,4156.3186612848585,448.5041287925926,448.5041287925926
0,1980,2340,360,1923.625843958522,1871.802997232197,15563.568032047551,32787.505207564485,48351.07323961204,15563.568032047551,303.84622908970255,300.2478520699679
0,2460,2700,240,5658.558056170025,5752.14808420304,2867.8738281657934,63479.23222897316,66347.10605713895,2867.8738281657934,349.0054700436815,336.86099931396564
0,2820,2880,60,6850.917481702526,6850.917481702526,593.8184298301348,67432.92639953873,68026.74482936886,593.8184298301348,277.82491230555956,277.82491230555956
0,2460,2640,180,942.4488603420444,944.3740553608839,783.9056212495825,6372.649464399127,7156.55508564871,783.9056212495825,367.9217356321654,370.2303264296843
0,2760,2880,120,461.57174303354606,461.57174303354606,632.5155412324275,6379.092796209405,7011.608337441832,632.5155412324275,415.82766432705364,415.82766432705364
0,60,2880,2820,217.31204135842646,225.36791596575713,1659.6652580333014,14.136510442662647,1673.801768475964,1659.6652580333014,247.62715396072542,247.83870583388762
0,47580,48060,480,11974.098722090017,11954.757138781268,2869.9583242282242,23026.68015869784,25896.638482926064,2869.9583242282242,347.59767354442135,354.08579265210926
0,48180,49980,1800,14287.960680351189,14500.557083607302,11293.428976116338,26625.309715221003,37918.73869133734,11293.428976116338,317.8927459044298,307.87626293495373
0,50220,51240,1020,17438.93012051256,17381.02954515661,5875.52558786382,39411.182655414654,45286.708243278474,5875.52558786382,362.31323028096114,359.9295075394416
0,52020,53160,1140,20300.55441269916,20254.206024347124,6631.7983282724745,49900.33237274273,56532.1307010152,6631.7983282724745,330.79637795679054,324.6103753061778
0,57840,58440,600,34736.471151816964,34716.87825233029,25972.726936485356,109584.39430848474,135557.1212449701,25972.726936485356,353.32698279217107,353.1975791423185
0,720,1980,1260,279.414220183739,351.1122810628521,3822.9445878842953,3147.0286352876183,6969.973223171914,3822.9445878842953,351.8476873615284,341.5620438655941
0,1860,2760,900,3198.6134636295506,1986.002389176544,18834.58659581887,16027.048996278358,34861.63559209723,18834.58659581887,333.5280387024485,320.653560350953
0,60,2880,2820,89.10734594375768,79.71859262409701,1319.777576490285,14.870198198065761,1334.6477746883506,1319.777576490285,164.30144717010208,164.27250278971303
0,300,1020,720,271.8694066639651,287.75118895242343,3312.7595407852164,1627.4932116998739,4940.25275248509,3312.7595407852164,368.79700103275286,368.98629783609886
0,1140,1740,600,1580.122927348415,997.9806006850185,4886.438760404613,8518.611091558083,13405.049851962696,4886.438760404613,335.95087341841634,333.082216980339
0,2400,2700,300,2044.0902457414322,1574.7076924823086,2019.6389247199077,19843.034998650895,21862.673923370803,2019.6389247199077,288.95814223193474,281.60974781514517
0,120,2640,2520,266.2507077828065,268.8812419097841,3067.6794679131317,98.7553771706252,3166.434845083757,3067.6794679131317,385.4731045836507,386.66224942137194
0,2820,2880,60,334.41955102780275,334.41955102780275,40.30148345738098,3244.906586914006,3285.208070371387,40.30148345738098,439.9829906866984,439.9829906866984
0,300,2880,2580,313.38489340669895,246.68542952672703,8771.0398105626,496.1505535479304,9267.190364110531,8771.0398105626,310.7157061800808,300.7499842144728
0,1920,2220,300,1790.3515494658761,1728.0745261866425,2647.1175132961216,36353.19208510268,39000.3095983988,2647.1175132961216,375.3076631190738,373.837442085085
0,2340,2460,120,11076.721226398902,11076.721226398902,12411.904984616413,49970.10749791127,62382.01248252768,12411.904984616413,411.84110879761886,411.84110879761886
0,2580,2880,300,4132.2221536928355,4176.970945924416,2178.75595310644,63948.87771269163,66127.63366579807,2178.75595310644,379.66447305854854,404.2483252666302
0,600,660,60,3050.8757214489697,3050.8757214489697,395.29856904247254,3954.4426846719066,4349.741253714379,395.29856904247254,407.3157560582336,407.3157560582336
0,2220,2880,660,2964.3143207137723,2969.2808701828753,4399.508728635061,35546.74602719772,39946.25475583278,4399.508728635061,334.7320603578766,328.3635264372412
0,960,1500,540,6294.742315387641,6377.17106924202,18615.58138274176,15755.555425847444,34371.1368085892,18615.58138274176,345.74441420840117,370.6732817551691
0,2220,2880,660,8185.513222300208,7968.951920565041,4575.287009922256,58785.06346273596,63360.35047265822,4575.287009922256,325.7445264715075,350.91216372697454
0,120,2880,2760,232.19348528888833,196.4548947589219,2967.0077428751947,43.93936733711449,3010.9471102123093,2967.0077428751947,369.4687680756655,364.72276926041076
0,2580,2880,300,3849.5294552586442,3872.3598141854673,897.3144221955736,52634.93260031812,53532.24702251369,897.3144221955736,250.83371513424237,247.89723850632868
0,600,720,120,2913.7788876746613,2913.7788876746613,1721.5013517559146,11575.66511581698,13297.166467572895,1721.5013517559146,366.54068680227647,366.54068680227647
0,960,2400,1440,5413.0527617761045,3458.6213562293724,48245.55870886946,15093.63055550335,63339.189264372806,48245.55870886946,214.14138542667078,202.48163684597404
0,420,540,120,461.97114251593723,461.97114251593723,525.0229465956011,153.7150776998061,678.7380242954072,525.0229465956011,440.65034942741113,440.65034942741113
0,1800,2760,960,725.5930682793514,502.628516156581,5535.423027018649,9462.325342019383,14997.748369038032,5535.423027018649,328.28509513784405,322.05712211686136
0,780,1080,300,400.64802850709054,402.26265162285534,1853.6693021633992,4737.923971017865,6591.5932731812645,1853.6693021633992,413.1517259625046,410.5508386461936
0,1260,1320,60,322.32475795934727,322.32475795934727,369.18685094592,7705.035110375711,8074.221961321631,369.18685094592,449.49076911932355,449.49076911932355
0,1680,2880,1200,3049.759056582436,2404.179559987377,25591.896598690637,12696.894388731813,38288.79098742245,25591.896598690637,271.97558554007963,267.9784357454528
0,2460,2880,420,9265.629065111016,9405.65587524947,4794.914151643781,64895.60725085414,69690.52140249792,4794.914151643781,278.83319189901323,270.9879104312651
0,1020,1200,180,1646.6188635977721,1937.4727425012684,4771.6079436554355,6177.609807280842,10949.217750936277,4771.6079436554355,396.02367290779347,424.29545054993224
0,1860,2880,1020,1439.7286472311707,1210.8371771219345,11557.14907418275,13585.666446130837,25142.815520313587,11557.14907418275,205.4260641334684,279.57455778859315
0,360,1200,840,959.4958950691313,899.9368530202246,5966.296055905115,1144.588282096756,7110.884338001872,5966.296055905115,404.3001222347321,406.97676924532266
0,1440,1920,480,359.53544967982214,395.71621161718394,124.26296643541355,7257.4389738446935,7381.701940280107,124.26296643541355,434.7832916479871,434.7111630383512
0,2400,2520,120,2449.621870877851,2449.621870877851,1357.1555531531158,12032.001713508691,13389.157266661807,1357.1555531531158,362.08081178621893,362.08081178621893
0,1080,1920,840,2658.5900055314164,2223.7454820424,16753.71151547732,15723.873681573175,32477.585197050495,16753.71151547732,302.62642125230343,301.0056408468338
0,480,600,120,438.16719690971036,438.16719690971036,279.2781771199436,251.962422637917,531.2405997578607,279.2781771199436,451.2313180387655,451.2313180387655
0,1920,2100,180,180.3453860455138,163.80871522037017,141.27186713697392,3284.713233640202,3425.985100777176,141.27186713697392,442.322320778465,442.3974420327525
0,2700,2880,180,346.32342986948134,344.87005922908736,261.00059755960774,4213.6306496338575,4474.631247193465,261.00059755960774,444.419389640647,444.1556955790101
0,720,840,120,195.19921768687863,195.19921768687863,28.349788291825007,1965.9434547687529,1994.2932430605779,28.349788291825007,439.48502433643347,439.48502433643347
0,1200,1680,480,350.2878618680064,260.90737412259523,493.1673091946777,3335.539774651486,3828.7070838461636,493.1673091946777,417.4665490809615,417.37064279487447
0,1200,2880,1680,1798.5550189692335,1560.1725456921374,9992.89972095574,11840.343151725849,21833.24287268159,9992.89972095574,126.54388762352359,114.35271540167874
