,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
0,52440,57120,4680,11722.526043574691,11545.29165354215,8044.760991172723,32654.120216191648,40698.88120736437,8044.760991172723,672.1335925923811,587.6742847996841
0,73680,77460,3780,39160.45539854839,39015.073399486064,11451.427004281672,51983.13428386907,63434.56128815074,11451.427004281672,943.5958407980942,969.3863858921814
0,84060,94620,10560,51763.24671464443,51786.49981069974,42961.98652704683,90625.84193274335,133587.82845979018,42961.98652704683,620.0826380495884,481.01856640646315
0,95160,142560,47400,43708.92558984794,47084.51166371768,199398.61224349934,135533.5511932797,334932.16343677905,199398.61224349934,1123.6418809232714,970.752514871873
0,149280,169320,20040,47384.250279254775,47811.04377262108,56778.23059883312,363539.41271775786,420317.643316591,56778.23059883312,1199.6585698585448,932.9335162445852
0,183720,189300,5580,72401.04999638675,72674.37814052729,4424.624429133022,431036.4861261656,435461.1105552986,4424.624429133022,3160.3473098593718,3189.523657134014
0,220680,222180,1500,43992.503855675604,44004.866475009905,620.4146017093444,459066.44099392224,459686.8555956316,620.4146017093444,4620.3528928733585,4613.791269860849
0,245880,259440,13560,39405.94767063457,40339.76295552149,12883.210677453317,471675.96613049106,484559.1768079444,12883.210677453317,2465.7430745257757,2373.966539954165
0,293820,316500,22680,47647.994076909665,45529.73496414354,28622.40851253143,532780.7761492215,561403.1846617529,28622.40851253143,2869.6004893126405,2947.9096354454036
0,318000,318480,480,41184.80704192833,41521.55820198364,1726.9643977413652,562684.5728659686,564411.5372637099,1726.9643977413652,6195.175320480437,6315.648701576809
0,318600,318660,60,40260.3479934664,40260.3479934664,258.432044931571,564918.5225240375,565176.9545689691,258.432044931571,6481.096664585388,6481.096664585388
0,318900,319260,360,41432.23979334713,41927.97293367502,1668.398811190622,566227.4123585696,567895.8111697602,1668.398811190622,5464.208273836994,5459.002761498479
0,319980,339780,19800,43594.984216938035,43146.385779478485,33040.096837515244,571717.9687775687,604758.0656150839,33040.096837515244,3505.660714973528,3268.8961369030767
0,363000,367440,4440,52697.237924292065,53055.297753221996,4113.565486902022,623167.6765497233,627281.2420366253,4113.565486902022,3064.0686002681346,2936.9546501234195
0,368340,397740,29400,64628.10995942403,66514.10375826393,59228.03922279633,632489.6376638877,691717.676886684,59228.03922279633,2439.031060477789,2273.4598882803075
0,411240,421620,10380,59699.16913165141,59278.96390215173,7057.412537853583,710503.0783522094,717560.490890063,7057.412537853583,1670.013788624522,1598.175607171817
0,4500,6900,2400,,,248706.79744505713,52047.56880333282,300754.36624838994,248706.79744505713,,
0,7320,7380,60,222923.3431128461,222923.3431128461,13652.649836363096,382508.0594275974,396160.7092639605,13652.649836363096,131.46750028001782,131.46750028001782
0,7800,1215900,1208100,4364857.385596212,4750531.814228855,1175146548.7748463,485336.94308562874,1175631885.717932,1175146548.7748463,31.78621129506654,8.93239088570147
0,40620,43140,2520,666.130011373384,646.7508542891708,17954.641386317584,201929.7981443613,219884.43953067888,17954.641386317584,667.4806993016285,720.4060163455059
0,43740,44040,300,701.7513242768606,729.6378857003062,2151.8341330405965,224008.33651188712,226160.1706449277,2151.8341330405965,882.5238576173573,888.4737352305325
0,44340,45780,1440,517.2914216641689,484.6073447224141,10357.379890894925,228282.65755757675,238640.03744847167,10357.379890894925,812.5479569954941,846.9261508152
0,47520,55740,8220,18321.678942522693,19127.587827941927,39494.17393149209,22670.81774834694,62164.99167983903,39494.17393149209,506.5524933368525,419.6350576480315
0,57420,57540,120,6355.708231374034,6355.708231374034,4705.766119384847,92265.09251357596,96970.85863296081,4705.766119384847,1145.181106251192,1145.181106251192
0,57780,61440,3660,77997.64435239953,89259.373724986,67784.06826737933,106989.39817508013,174773.46644245947,67784.06826737933,782.721476165244,786.8281908004367
0,26040,26940,900,457.74680767412,439.6485633280606,5221.636883310683,133147.33655018645,138368.97343349713,5221.636883310683,496.67074240016694,496.02368716061153
0,15480,15780,300,6857.070522508839,6810.269086675036,2078.5873000269057,108770.83725221072,110849.42455223763,2078.5873000269057,297.61259484558843,303.6420785718063
0,33840,34200,360,36098.20995268031,36087.02987025553,2525.5698839785473,236172.90791856137,238698.4778025399,2525.5698839785473,669.8116522932108,685.224203192239
0,37080,42420,5340,45003.44542948002,45068.08734858747,37220.809429647925,259224.64836644812,296445.45779609605,37220.809429647925,533.7182146170328,501.27291992967986
0,43920,44760,840,51942.93019697155,51919.89771266006,6052.534052258765,307060.1589746142,313112.693026873,6052.534052258765,570.3668449711154,551.2649101668376
0,45180,45420,240,53378.19380021289,53391.502515610446,1726.1756159073557,316112.0364047974,317838.21202070476,1726.1756159073557,793.9278399742852,800.2325131832481
0,45600,51120,5520,56539.57370149512,56674.66970944658,34029.66952634812,319117.7302545372,353147.3997808853,34029.66952634812,592.0691554667723,596.2467264207196
0,105540,113400,7860,92862.44555831507,93570.04268828615,48680.91158582829,380294.84337123676,428975.75495706504,48680.91158582829,282.02994985391035,262.49663865119754
0,18540,18600,60,1297.3605014649138,1297.3605014649138,298.6066978043673,96725.5132136971,97024.11991150146,298.6066978043673,396.68158358084634,396.68158358084634
0,22620,23040,420,17820.79905099217,17895.337390543096,2052.1698947008845,119065.50512910148,121117.67502380237,2052.1698947008845,416.6680630180607,418.8393610772695
0,26220,26700,480,24438.220675149874,24242.451607385934,2597.6689906217216,137895.64139633358,140493.3103869553,2597.6689906217216,501.3332972913703,503.38167408364546
0,27060,27900,840,24955.828782719494,24963.35675025908,4558.606310475647,142472.4686209939,147031.07493146954,4558.606310475647,378.5734277915827,362.8428960426926
0,20820,20940,120,470.04685953058566,470.04685953058566,580.3813677630096,107765.27513733205,108345.65650509506,580.3813677630096,415.1374871598126,415.1374871598126
0,27360,27780,420,366.1203298668776,346.4291775142415,2104.444520232297,139909.71738134546,142014.16190157775,2104.444520232297,519.099223417319,513.3892812875378
0,32220,32940,720,815.9638284906746,824.3107953697513,3540.1035636211163,160979.35748756558,164519.4610511867,3540.1035636211163,539.2963738503914,526.0597305206621
0,41580,41820,240,242.28781720258183,244.05680334370203,1370.3510268745304,207889.02125662513,209259.37228349966,1370.3510268745304,853.2375347716979,848.1632571571624
0,51600,52740,1140,2248.8266946943468,2264.058910307726,6150.778762178088,261647.78344992216,267798.56221210025,6150.778762178088,796.3586164491948,782.5929023549742
0,42840,42960,120,20331.03880589603,20331.03880589603,218.31721958282287,171592.25680845254,171810.57402803536,218.31721958282287,869.7812346942732,869.7812346942732
0,44400,44820,420,22783.1047051308,22819.517429055464,929.4808339955052,173735.5093234017,174664.9901573972,929.4808339955052,782.9945479250449,758.1293411423984
0,45180,49200,4020,32050.16818388315,33039.2290444928,18645.510092969955,175587.40724620526,194232.9173391752,18645.510092969955,733.9444830568622,726.6150580830165
0,51000,52440,1440,45412.58836299109,45408.95375155432,9408.164004068734,203868.1186301778,213276.28263424654,9408.164004068734,1011.0665741630916,1021.5789312369072
0,53280,54660,1380,46832.169536359004,46566.35357354423,5926.105794664967,217004.68068081417,222930.78647547914,5926.105794664967,944.6990046661515,899.8779584169283
0,56400,56760,360,49870.43148689833,49895.99551666464,2084.937615757721,233164.27856633544,235249.21618209317,2084.937615757721,956.0592600706283,910.181231754267
0,56940,59640,2700,49417.138792731705,49386.53092953417,11918.719654260494,236314.67358776892,248233.39324202941,11918.719654260494,732.0622073636938,787.2453905204004
0,59760,60420,660,49275.85287022696,49228.61305711942,3580.518459452316,248821.38884478444,252401.90730423675,3580.518459452316,676.7260949358833,666.4627029129672
0,60720,61680,960,51992.86770920399,51939.82868612572,5721.067933688028,254186.07762267327,259907.1455563613,5721.067933688028,901.0864158644848,880.5027088959444
0,61860,64800,2940,53327.13517507102,53289.406223181984,12786.907302272564,260921.32558337884,273708.2328856514,12786.907302272564,905.8305379655002,892.6457243548557
0,67020,67140,120,55049.15525379188,55049.15525379188,706.2894940991537,286775.4061171388,287481.69561123796,706.2894940991537,1348.0949840836206,1348.0949840836206
0,91080,97260,6180,41556.6239051203,40097.43623013979,34940.25966664683,367153.93026840175,402094.1899350486,34940.25966664683,1138.3503598064865,1129.096527762073
0,32940,72300,39360,703.2524766537894,698.2780274721997,13456.412934118056,4054.63137237896,17511.044306497017,13456.412934118056,731.1104564840576,709.3102684225382
0,16680,17220,540,26464.517840277796,26442.219485336067,3205.7928704312653,93338.56210899274,96544.35497942401,3205.7928704312653,317.5863004511397,315.4905242768062
0,170880,192840,21960,13273.53006923726,13084.96387595201,15402.815586318291,129347.95417695865,144750.76976327694,15402.815586318291,2489.5116279646004,2829.9626563269494
0,192960,203460,10500,6780.02277769042,6771.943421374124,10887.008592885162,145268.84731193332,156155.85590481848,10887.008592885162,2301.7511033119513,2315.2575401915674
0,205140,206460,1320,7550.403659803054,7548.446249384044,945.4331779448839,157395.260406242,158340.6935841869,945.4331779448839,4343.91872005041,4341.020833244177
0,208800,236700,27900,13199.205967462145,13692.995866306777,39065.25085459469,161391.59331791272,200456.8441725074,39065.25085459469,1555.9112502296416,1228.0020589261278
0,62220,65940,3720,248.6341572911614,249.3560154179744,28281.499981251138,473997.4277767669,502278.927758018,28281.499981251138,1035.4663658759698,1042.306153226577
0,66120,73680,7560,1208.5574167872003,1242.4130728672128,54328.79602716549,503722.42036164296,558051.2163888084,54328.79602716549,1094.6313925420511,1089.6494509207778
0,80520,81540,1020,2001.7111566907163,2057.1217612141186,4913.0144205421675,599883.4086904958,604796.4231110379,4913.0144205421675,1384.8994176557892,1355.2046322132605
0,82320,82380,60,3555.867457932797,3555.867457932797,312.48847849841695,610764.9046587917,611077.3931372901,312.48847849841695,1727.7617934615337,1727.7617934615337
0,86340,92580,6240,1805.157980524628,1056.1685312248476,25302.820940167177,626933.2575742241,652236.0785143913,25302.820940167177,1197.5713648396938,1250.0337127522603
0,96660,131880,35220,2535.758786391208,2448.122367601219,152958.1532893551,667971.1803069531,820929.3335963082,152958.1532893551,1532.7866305992677,1396.125547759308
0,28560,28980,420,11653.098866432045,11594.479018987686,2329.3293652218636,51340.7653685484,53670.09473377026,2329.3293652218636,541.7610557303016,551.0419187975232
0,29100,29580,480,12600.017248141161,12638.061648853192,2635.6882006938395,54326.689656908144,56962.37785760198,2635.6882006938395,566.8763883014369,569.7040480616204
