,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
0,13800,13860,60,225.25059534307152,225.25059534307152,338.33695690188324,72661.17671355768,72999.51367045956,338.33695690188324,711.464346191555,711.464346191555
0,15900,16440,540,144.6445785711288,124.82147325774643,2772.2245412114135,83824.18665840749,86596.4111996189,2772.2245412114135,1244.645389519714,1223.7817278442212
0,17400,20400,3000,224.66539982004178,206.93875153914686,15788.611952920372,91648.44271033868,107437.05466325906,15788.611952920372,1465.3613622444943,1409.4018508324984
0,1440,1560,120,16.62627690021931,16.62627690021931,88.18181242788933,2911.854468815776,3000.036281243665,88.18181242788933,526.8842688722966,526.8842688722966
0,2760,2880,120,23.474887246310395,23.474887246310395,229.44808184843714,2369.0467965606545,2598.4948784090916,229.44808184843714,309.66453090471066,309.66453090471066
0,1980,2220,240,14.020004318401037,16.49601425483681,67.74022430445166,1109.9454168227983,1177.68564112725,67.74022430445166,297.237785345607,296.7846973820958
0,4500,6840,2340,,,238514.35517072707,52047.56880333282,290561.9239740599,238514.35517072707,,
0,7980,8220,240,,,40392.62728128274,521665.66935936076,562058.2966406435,40392.62728128274,,
0,8520,77160,68640,,,3593164.1671759044,595991.2542927588,4189155.421468663,3593164.1671759044,,
0,77760,433740,355980,,,32820463.398617193,4195014.543475865,37015477.94209306,32820463.398617193,,
0,433860,573540,139680,,,28539404.674955025,37040399.956209846,65579804.63116487,28539404.674955025,,
0,573660,811200,237540,,,87565975.16662285,65601723.33567063,153167698.50229347,87565975.16662285,,
0,811320,814140,2820,,,1837553.5740113556,153224723.01494482,155062276.58895618,1837553.5740113556,,
0,814260,817560,3300,,,2257949.37827003,155130141.35602045,157388090.73429048,2257949.37827003,,
0,817680,820620,2940,,,1838075.448971659,157438106.1159198,159276181.56489146,1838075.448971659,,
0,820740,830160,9420,,,6397568.981220901,159360065.75115538,165757634.73237628,6397568.981220901,,
