,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled
ew9704_478,,,2880.0,,,3301.8388910652257,,,
ew9704_164,,,2880.0,,,73587.95300512006,,,
ew9704_135,,,2880.0,,,32623.421723652653,,,
ew9704_633,,,2880.0,,,18470.390246360752,,,
ew9704_400,,,2880.0,,,9888.658965356437,,,
ew9704_391,,,2880.0,,,4649.890774093775,,,
ew9704_625,,,2880.0,,,10035.24895554607,,,
ew9704_504,,,2880.0,,,29273.09760700039,,,
ew9704_341,,,2880.0,,,7574.111525569834,,,
wi933014_37,,,29640.0,,,156083.0744835917,,,
ew9704_298,,,2880.0,,,58325.11601719881,,,
ew9704_362,,,2880.0,,,10924.316024045387,,,
ew9704_879,,,2880.0,,,32865.454014972864,,,
ew9704_829,,,2880.0,,,18054.045026055675,,,
ew9704_747,,,2880.0,,,6730.15084560224,,,
ew9704_198,,,2880.0,,,15310.720115651966,,,
ew9704_591,,,2880.0,,,25292.844609612657,,,
ew9704_654,,,2880.0,,,17792.343374733184,,,
ew9704_784,,,2880.0,,,2598.4948784090916,,,
ew9704_229,,,2880.0,,,47687.73261989124,,,
ew9704_664,,,2880.0,,,48329.42867883287,,,
index17_106,,,421620.0,,,717560.490890063,,,
ew9704_515,,,2880.0,,,53668.3381410246,,,
ew9704_169,,,2880.0,,,44755.152460884005,,,
ew9704_572,,,2880.0,,,1435.6840077795493,,,
ew9704_760,,,2880.0,,,6582.174761551298,,,
ew9704_683,,,2880.0,,,38625.27667081372,,,
ew9704_797,,,2880.0,,,1191.3386471857655,,,
ew9704_108,,,1215900.0,,,1175631885.717932,,,
ew9704_724,,,2880.0,,,12103.14344199943,,,
ew9704_263,,,2880.0,,,8097.513825113694,,,
ew9704_838,,,2880.0,,,38125.07635810011,,,
wi933014_14,,,45780.0,,,238640.03744847167,,,
ew9704_189,,,2880.0,,,73877.22626035575,,,
ew9704_837,,,2880.0,,,68026.74482936886,,,
ew9704_401,,,2880.0,,,7975.824776330465,,,
ew9704_426,,,2880.0,,,7011.608337441832,,,
ew9704_201,,,2880.0,,,46562.72663444639,,,
ew9704_392,,,2880.0,,,1673.801768475964,,,
index17_85,,,124020.0,,,4240374.718159169,,,
wi933014_75,,,7980.0,,,42172.230242912025,,,
ew9704_410,,,2880.0,,,9397.776810763502,,,
ew9704_538,,,2880.0,,,35756.59753982267,,,
