,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
0,60,421620,421560,624624.7734514116,530979.3718597891,717588.1194621134,3.2950150345929283,717591.414477148,717588.1194621134,385.76945205704595,341.79352773807034
0,60,124020,123960,558134.230562921,114954.37485303648,4240374.980304137,2.348523290383454,4240377.328827428,4240374.980304137,324.22247358982975,294.3669982663573
0,60,113400,113340,24357.29951798755,10069.28326788515,428563.7494165185,425.1563455287063,428988.9057620472,428563.7494165185,300.5608820309832,275.08496639882577
0,60,7560,7500,7244.524771587606,7333.818588750165,17635.44504973953,8.697362543783816,17644.142412283312,17635.44504973953,212.5898019191296,206.13456074573492
0,540,72300,71760,37392.79322951034,35191.33693036846,17373.803185316723,77.30302238858725,17451.10620770531,17373.803185316723,357.15422541060474,308.18413322305014
0,60,236700,236640,21212.443993311805,15501.829909033528,200402.11916684487,45.92558402607901,200448.04475087096,200402.11916684487,305.145418867955,271.58627887782166
0,60,51960,51900,14043.168645679132,14175.768283543803,183730.60740572488,85.85955490795604,183816.46696063282,183730.60740572488,310.40004065584543,279.6648156444571
0,60,15960,15900,17742.619795014314,17297.92649681899,26778.553471843006,4.252170920262858,26782.80564276327,26778.553471843006,375.18473252336116,301.31595459620604
0,1080,17760,16680,10311.054433862962,10139.749568369676,4983.034016448294,134.5632785134684,5117.597294961763,4983.034016448294,480.38903790383233,430.62185261909866
0,300,73260,72960,214046.0740760172,157431.22827768134,975823.4288616984,856.9439496036936,976680.3728113021,975823.4288616984,359.71006035264827,321.31236656285614
0,1080,28920,27840,12176.689970311552,11977.557124864861,21230.244995860863,271.5048773067283,21501.74987316759,21230.244995860863,405.202799937427,325.69133205265376
0,60,82680,82620,10165.350574236658,9123.873494711186,98750.41321570442,26.455250769798177,98776.86846647422,98750.41321570442,309.6463549776375,270.3710043513915
0,300,69840,69540,23962.229558175735,22020.68596393614,166718.59073458405,524.796534578302,167243.38726916237,166718.59073458405,276.53284197141153,240.0281938147017
0,60,223920,223860,45000.247157365484,43082.919145901134,479059.6384820292,10.97005290866484,479070.60853493784,479059.6384820292,290.35772852021717,260.0338104616817
0,60,31140,31080,11646.801091410773,11624.082812431725,113417.71370539167,98.7505808573555,113516.46428624903,113417.71370539167,337.9204035775195,300.1566939755861
0,60,80460,80400,12483.61350334803,13413.716362863579,87257.5786639467,0.8302744363261653,87258.40893838303,87257.5786639467,295.06262570810395,269.89193184077
0,60,69780,69720,22593.042737340103,21846.730605956436,62098.52978316464,6.726613865721033,62105.25639703036,62098.52978316464,291.9264419471006,253.0239161825265
0,60,74520,74460,8279.648201768734,6775.304446913639,174082.06417883755,2.7668387204179705,174084.83101755797,174082.06417883755,313.4110426355462,276.8575352266047
0,60,237180,237120,72294.63035709377,77865.7300361279,1564104.2591552045,35.99211079319053,1564140.2512659978,1564104.2591552045,277.6996316936302,248.1103234923803
0,60,73080,73020,13303.42378350697,9352.862828685686,144901.5885815658,131.07134323701143,145032.6599248028,144901.5885815658,345.80318730823944,294.36661161813623
0,60,52920,52860,3909.0262962293064,4164.642672001608,48055.949827489676,4.950469689874951,48060.90029717955,48055.949827489676,264.2023390372408,253.6443976723295
0,420,16200,15780,8739.768844232247,8991.035753789973,17076.686193075544,151.6271337416992,17228.313326817242,17076.686193075544,279.7531983025435,266.560950418437
0,60,38340,38280,30201.869737422458,25422.082146098786,23524.102747212204,174.2319309692732,23698.334678181476,23524.102747212204,295.5019572155691,270.88083027650447
0,1020,627540,626520,403346.6020875221,415737.437004483,3830709.341224871,3499.134081069674,3834208.475305941,3830709.341224871,301.1222786494803,263.50726404149066
