,index17_106,index17_85,index17_84,index17_100,index17_104,index17_103,index17_87,index17_96,index17_86,ew0114_2,index17_91,index17_101,index17_99,index17_102,index17_94,index17_89,index17_105,index17_93,index17_95,index17_88,index17_98,index17_92,index17_97,ew0112_107
0,3157.264760374759,3516.640234155215,3589.0840952505705,2228.315161582024,121.68810552354674,3327.5071291462878,10073.054874164001,6616.0561518939285,7143.021402215644,926.1867210615992,783.7721364413967,645.2952098386214,3407.155406385502,5542.722515942459,5508.244658023552,4771.402441619946,555.0659770483567,3898.172539952956,4132.825729597118,2475.7217549811917,6278.373116065806,1208.125130589021,3756.822700901254,1667.521505216471
60,6715.010658941962,9890.138993064831,8328.598876185995,9005.349269910603,4798.63547349608,15114.417119310005,15525.234798266656,15149.20021394412,12997.793868043469,5525.679350123634,7827.823580777605,17629.794875875523,11029.969893047342,16358.154038796745,10371.965147172366,13592.728237861109,14198.184534201262,3906.7860291455468,9755.423000933813,7296.47096073238,6667.818931136381,3669.1003822197144,12505.986057684559,8033.9624436171
120,6648.328506239907,9773.661928151761,8375.9320609455,8953.996868657612,4532.412076328964,15174.319681883599,15611.494621608015,15159.82565636073,12296.202268205196,6852.94277689339,2790.5915192278544,17685.106840104247,9261.305502469884,16361.912505009257,10397.629148988073,13552.638824571763,14127.829422070543,3810.1932701015853,9741.266852241935,7222.8715023159875,6560.858886440849,5041.599909674926,12385.885342013044,11731.83226435668
180,6509.887016239424,9654.814414802877,8417.442827703242,8970.69076513291,5657.117757904241,15162.265939311073,15608.046652140858,15216.588569918309,13393.070428748602,7203.67321929996,5237.448236889966,17742.15800804702,8190.45150277702,16338.885543034841,10482.383153867519,13533.782746948278,14174.281415638474,3798.564607528527,9743.328140990245,7164.390139904589,6591.9816809644435,2295.99997604821,12304.508692239488,12060.629527501402
240,6389.217723984091,9632.006829687794,8397.814892924984,9050.446638573514,7660.325687970836,15182.758052676607,15617.799721292922,15257.823911186637,11372.731639963647,7591.307767521753,3847.1673408779634,17834.4020214714,8187.940911967819,16313.498031158906,10510.766327601883,13443.915442860382,14143.776745180434,3785.547629380309,9759.475416418232,7093.666367974415,6625.379626939581,6711.71426516881,12183.68773387233,12323.640313935832
300,6314.868927203821,9685.533618235026,8390.382096452753,9070.936681856798,8411.944988544657,15162.421262689233,15777.409192785894,15275.603014318998,12074.977083119054,10585.567811441228,1656.4687360037426,18005.331672744836,7703.362404185923,16277.393948095923,10478.423501268457,13430.487631434915,14185.99882934229,3901.5425488612786,9822.601182278317,7068.715489469595,6577.388827278861,6800.495153902191,12159.275312984311,11833.26035706451
360,6248.8802629573065,9788.572961649927,8321.115888944125,8989.998725331941,10506.728096650424,15249.926553316736,15795.55596653084,15395.816778724384,12168.670271911571,10552.82964648323,1159.5584325099533,18037.24952479599,7687.439960835659,16319.042455026647,10489.981626045465,13380.875811834634,14123.524836057399,4012.973417402968,9829.65475707866,7026.703872237916,6625.839166014397,6036.542923708532,12195.57241762186,11025.946876301836
420,6228.709842235554,9783.634187278423,8307.04948544575,8838.058784985082,14486.829604308412,15280.400911262152,15766.922360546941,15315.72536322592,12093.11168878985,10616.847786921191,927.8458981156654,17982.11172404459,7580.326083300074,16300.384072534554,10452.164438786054,13324.157889484497,14092.02139518364,4017.367773943022,9940.433297612739,7040.689445183028,6586.558897776861,5969.154754392979,12193.931936290255,9646.479705215104
480,6351.896540143944,9785.829830128694,8396.8804577812,8753.367678565593,14480.871866860407,15132.094682988965,15943.850492966829,15188.134855784145,12043.635020167969,10598.395640030467,2432.4705799317603,18074.460466481763,7611.421945119225,16208.777778221478,10491.533878331662,13255.4540986172,14022.75832132493,4099.089103900462,9884.764336213408,7133.472242934035,6541.418978983646,5943.858999085308,12045.700351276184,11281.994715564513
540,6235.442341415606,9803.652366175584,8432.74195873126,8716.309595165601,16295.1315094688,15111.473915227132,16032.85179185045,15125.18791679156,12060.200844564733,10573.705470823585,5412.3186473548485,18065.007226528676,7600.041878721968,16289.450736723931,10498.053371359458,13340.087599969973,13897.749283719148,4134.726346649169,9789.32822487494,7141.587081881336,6548.785473076319,5978.458103482329,12128.622942774633,8149.20733086818
