,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled
index17_106,,,421620.0,,,717591.414477148,,,
index17_85,,,124020.0,,,4240377.328827428,,,
index17_84,,,113400.0,,,428988.9057620472,,,
index17_100,,,7560.0,,,17644.142412283312,,,
index17_104,,,72300.0,,,17451.10620770531,,,
index17_103,,,236700.0,,,200448.04475087096,,,
index17_87,,,51960.0,,,183816.46696063282,,,
index17_96,,,15960.0,,,26782.80564276327,,,
index17_86,,,17760.0,,,5117.597294961763,,,
ew0114_2,,,73260.0,,,976680.3728113021,,,
index17_91,,,28920.0,,,21501.74987316759,,,
index17_101,,,82680.0,,,98776.86846647422,,,
index17_99,,,69840.0,,,167243.38726916237,,,
index17_102,,,223920.0,,,479070.60853493784,,,
index17_94,,,31140.0,,,113516.46428624903,,,
index17_89,,,80460.0,,,87258.40893838303,,,
index17_105,,,69780.0,,,62105.25639703036,,,
index17_93,,,74520.0,,,174084.83101755797,,,
index17_95,,,237180.0,,,1564140.2512659978,,,
index17_88,,,73080.0,,,145032.6599248028,,,
index17_98,,,52920.0,,,48060.90029717955,,,
index17_92,,,16200.0,,,17228.313326817242,,,
index17_97,,,38340.0,,,23698.334678181476,,,
ew0112_107,,,627540.0,,,3834208.475305941,,,
