,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
0,0,387480,387480,85842.0073510751,99262.52770109549,685128.2084046965,0.0,685128.2084046965,685128.2084046965,313.2011479978326,280.22471731760845
0,0,63360,63360,28041.87666206279,17334.523898538304,227288.01048926392,0.0,227288.01048926392,227288.01048926392,307.68028831881173,279.0879489823966
0,82800,86940,4140,96961.93805172239,87992.45680852355,391574.2549440927,808870.7840876881,1200445.0390317808,391574.2549440927,219.95175828077112,185.19865259265447
0,0,113400,113400,43275.43600454326,27604.16996760371,428988.9057620472,0.0,428988.9057620472,428988.9057620472,303.5974842791183,278.7372538209612
0,0,7560,7560,1720.2372508877424,1518.1905055035631,17641.17160159374,0.0,17641.17160159374,17641.17160159374,309.69285343677797,291.440993028908
0,0,72300,72300,983.5827777114237,993.9189318094975,17440.436584599218,0.0,17440.436584599218,17440.436584599218,272.6834106645081,254.28051363732132
0,0,210000,210000,60201.34005614538,19086.110960828555,166591.53367107327,0.0,166591.53367107327,166591.53367107327,326.5494872245102,290.7699857382497
0,0,51960,51960,16158.751877162167,17459.583101732234,183816.46696063282,0.0,183816.46696063282,183816.46696063282,305.63205531397585,265.0847989437112
0,0,15960,15960,3087.894344514564,2147.7542530098553,26802.884073859746,0.0,26802.884073859746,26802.884073859746,323.96055909936956,254.42191747995537
0,0,17760,17760,1235.3473055739241,1400.6433940877594,5117.597294961763,0.0,5117.597294961763,5117.597294961763,214.68311098944005,196.56851627807006
0,0,40740,40740,46941.24291040489,3946.742382451526,435355.09151792753,0.0,435355.09151792753,435355.09151792753,383.32433954024697,349.5029358948581
0,0,28920,28920,3346.703493158189,3253.836989709175,21501.74987316759,0.0,21501.74987316759,21501.74987316759,314.5014965706217,268.10922368963895
0,0,82680,82680,39612.46492779492,30907.371694565238,98784.5177339212,0.0,98784.5177339212,98784.5177339212,307.80102429589994,288.7958234496175
0,0,69840,69840,18643.84497611717,23872.43726272733,167235.4501994439,0.0,167235.4501994439,167235.4501994439,285.0043259196689,266.07789453079164
0,0,215520,215520,87412.10001537419,80520.75592929355,470469.3783509171,0.0,470469.3783509171,470469.3783509171,301.6496445817686,272.6527622000019
0,0,31140,31140,3928.9824605394097,3885.172428816627,113522.6436967136,0.0,113522.6436967136,113522.6436967136,314.9486040289977,286.811438631357
0,0,80460,80460,59350.164913688364,54849.47058732611,87258.40893838303,0.0,87258.40893838303,87258.40893838303,333.01069933952186,296.23221640895997
0,0,69780,69780,10017.846277317427,7941.824502812315,62099.25241354578,0.0,62099.25241354578,62099.25241354578,332.0922814279062,291.8019411984443
0,0,74520,74520,14373.794685913055,8484.785851331359,174084.83101755797,0.0,174084.83101755797,174084.83101755797,315.16463498057465,281.08687055741945
0,0,136560,136560,90213.83147535454,74546.39333470748,617190.4093441364,0.0,617190.4093441364,617190.4093441364,269.5235439926019,247.58168220719347
0,140520,184680,44160,120735.88005356381,111168.33628058649,478413.2474650972,631635.3400535252,1110048.5875186224,478413.2474650972,257.03010484169687,224.52371604765995
0,0,73080,73080,13867.143038990569,10819.278962478336,145032.6599248028,0.0,145032.6599248028,145032.6599248028,327.0655247918984,284.99327192562816
0,0,52920,52920,15616.496113923944,11080.231357645116,48029.11222176447,0.0,48029.11222176447,48029.11222176447,268.02461105100986,253.1079641160461
0,0,16200,16200,3443.4089689330667,3428.181410413039,17228.313326817242,0.0,17228.313326817242,17228.313326817242,248.99540300543492,202.04785876582054
0,0,38340,38340,19422.15172183821,14215.913234987147,23700.19244387762,0.0,23700.19244387762,23700.19244387762,383.6558078960906,321.6399988048469
0,0,287100,287100,105732.13889454796,124663.30061933571,1763431.0928871557,0.0,1763431.0928871557,1763431.0928871557,290.8893011696528,252.79389942943547
