,index17_106,index17_85,index17_84,index17_100,index17_104,index17_103,index17_87,index17_96,index17_86,ew0114_2,index17_91,index17_101,index17_99,index17_102,index17_94,index17_89,index17_105,index17_93,index17_95,index17_88,index17_98,index17_92,index17_97,ew0112_107
0,91.9751202784081,408.5947732652538,416.98439759867654,216.42049883455255,160.00532262656023,788.927424190864,1170.438394788206,860.543405893257,829.9389635227707,107.60616441232878,91.06185886835388,353.1063686237786,56.662494643775716,481.5600208017202,686.4573577695642,554.3336119544032,719.6218186564095,452.8954477547574,486.23582788504496,287.63347253600665,746.5702703507305,140.36577169915205,301.35588614583804,337.60803861915963
60,297.7092668641783,1005.7111256587807,968.4741344325396,1905.2024291735474,1171.569811283762,623.0494542406296,2539.4136702181745,1375.2538845366153,1699.5932652202757,367.1676025088973,1287.5074337107383,1210.0014581800187,1593.8092440730597,1578.875466435478,2542.8978976128947,1549.8810156108505,1205.059963562657,985.4720872098994,2347.520365163064,711.5782959650787,859.442716162684,564.5284454197775,1902.7782491453547,767.1178931945241
120,144.67171527104446,958.2910194255962,725.7399439013142,1880.9448105187812,1211.6027335552133,942.0486035829547,2880.2921654901047,1170.1724107565874,1665.664898549904,757.7414352941761,1084.558922498882,1669.7347658546003,1949.6326055534114,1599.569479451138,2605.118991354102,1529.6965190974304,1487.5681097030817,975.7380463457162,2395.2138938309827,262.35232113215494,840.7103998700564,2005.202607060051,1606.289791044771,504.50313481235577
180,84.40819327193103,911.055500538778,859.1817211286179,1796.8572954518552,1352.7236586093443,776.6808749622858,2978.0616441554175,961.8953421226338,1682.0337541735662,849.5410990617837,1174.418337757703,1697.6230272966368,2045.4759605495303,1638.3329572324144,2609.0470905084085,1539.7652143221096,1442.4455347606795,973.5257247565567,2494.3157667861983,372.6869723228974,833.2100091116782,1995.442693825467,1623.0459749244985,284.68922992288657
240,133.225091311047,918.6123880350511,1115.7007298480114,1805.9761923513313,1397.442060279916,605.5986620870016,2958.970842434599,919.8199773829424,1634.0261919296283,1045.717364031686,1120.9393025063323,1750.0831592945663,2116.190261802035,1647.139397284064,2576.063210626727,1503.8879301416364,1374.6680676438289,925.5203285331031,2563.3124849675896,620.6549095018925,704.3414077961144,2042.5206979490492,1697.8036407366887,252.70029020173814
300,134.27419659804326,944.6881722194283,1174.3377223699283,1656.261647334292,1352.7440841997013,654.2743259987324,3135.02000451771,1006.7560331979904,1579.3863701457137,986.2077514064514,1132.0496680439219,1729.0312818527293,2111.2833063095422,1666.2235173706724,2584.4915684493567,1579.0573035931257,1395.5073082469435,902.680908119432,2710.1749641647166,609.058858644402,780.4117038959392,2044.725312283849,1718.0991796294643,501.51924805890707
360,150.22087246602564,911.0052530497886,1174.33526370322,1567.4859108648916,1283.8612940400735,955.086460501532,3132.967611001165,1563.676450359485,1548.1107876111987,1035.7608516597243,1260.291410538429,1793.4366917391571,2081.141477315144,1649.7335600211472,2714.0687982532886,1609.7251920867616,1357.2827153399303,773.8146667052852,2852.3400161501686,549.2295720934977,655.8942962014075,2134.355467817897,1635.539398545693,462.85913395246877
420,131.17478830041756,944.6302845672417,1241.353802085706,1637.914021180438,1264.8368571010587,1210.884323334758,3105.0446539803343,1413.818032201794,1614.001612183117,964.7530852513421,1246.0056043904049,1919.1557174624868,2046.1605852179125,1657.8462607873942,2696.0503571582094,1608.2920800566021,1223.897934998557,812.4448447239421,2845.83549301766,592.407329182154,488.98731714164325,2274.358068193323,1601.517034893109,242.2269467089125
480,126.36596555811406,920.1413586057365,1257.2844083638963,1539.0100516141308,1301.5836146606541,1208.6454273337904,3049.533850693736,1328.0640333892993,1556.004578589963,807.327465441455,1267.1863750636319,1974.5688941646847,1992.7454278958517,1684.8235563679382,2687.0832110798083,1752.5267219934412,1239.047507557244,795.7027932189759,2880.6217009680986,569.2228550599035,548.2172590528473,2345.4405427615425,1581.713259721328,840.7469637441401
540,110.73572678700856,888.5609741032981,1268.373371631054,1461.0054600576668,1263.5688218449502,1234.5856261240024,3145.3582927196785,1370.44650558405,1576.8509081354648,781.617140030466,1362.7697642463168,2144.5442533062214,1957.1099415555848,1727.1692310999076,2815.102430231934,1900.4136780759131,1141.620688218255,907.1149945185148,2814.1685277966226,559.5429788034535,677.2688618898002,2462.428956247749,1654.1081323566632,1204.0076982670719
600,60.5952270773324,752.3509247096335,1427.3696677478315,1405.5323881124173,1241.2524049900085,1269.6956877975656,3277.599671030117,1385.4503689595704,1532.547330016874,742.3981060954321,1323.951395828025,2148.8512925772116,1912.4120609438542,1698.8629340987857,2872.385655888193,1936.9467961753255,1138.5616777169807,943.3094439474045,2821.0770798572394,636.4626104195266,862.9241961148329,2608.7583002317106,1665.3747697824979,1551.494361769261
660,72.36621318876074,773.9776421284804,1463.8434451832131,1362.6661421881788,1206.5986968707798,1264.8866520617769,3329.987548032295,1248.8114104934402,1589.0159607844298,614.8270151568742,1247.8819202444463,2177.198391157049,1877.4010223022683,1642.7574108548188,2876.066234103057,1890.0562600487601,1132.8905197114325,910.6819970532775,2708.4675920321056,622.7667125720143,955.1292593074623,2692.0727592072217,1889.1574063827502,1556.5181417739384
720,100.50959240529028,717.1336855354637,1449.5473358974334,1299.9610934991645,1146.158650554533,1299.4524319975687,3365.524863140323,1257.6022764722265,1629.151699284982,524.2607855445788,1396.5449679486926,2242.2514189520602,1966.2155098076296,1654.2605568849829,3018.2287326362352,1893.0961779779516,1073.840780953995,945.0377392424941,2649.8786115532957,664.0375863583728,963.2290850097341,2678.7372062402633,1860.3341247978326,1603.4917208237785
780,37.923862059705925,667.2626864740176,1466.6690925307018,1213.0471675132505,1118.6008139666667,1335.0853590128245,3320.167067853112,1543.5823566947527,1614.8483848095566,591.1865281637834,1347.630335296715,2324.6282815287996,1993.0603195463814,1761.4882098893383,3135.855044366965,1989.3678967607755,1125.4504049410082,997.7753537380374,2658.6111052568326,666.554098517303,944.2379623628456,2656.5920784586133,1786.6491394260727,1554.5253288160245
840,123.27250559598232,607.2519302282026,1517.8416930970338,1271.6169509480474,1061.5320074861672,1366.232415947142,3325.819998968172,1562.979540406725,1613.8638151162427,768.3269870150768,1338.3160173309286,2223.6839917495413,2038.5901197430765,1835.8257652746852,3260.6527173860463,1858.3605376330231,1092.7279970840748,1050.6605070163591,2593.041695106886,675.892766186057,1129.5597437578292,2689.345054894532,1706.602526595534,1576.5409674727791
900,87.83562426571395,550.945546819436,1547.5693267869028,1208.906866767939,1062.4738059727251,1366.2960077077073,3314.6435706396337,1615.8583248328348,1612.7085508629373,746.5295735102126,1415.3016717658845,2341.478121829509,2062.6953254967866,1833.807834450623,3305.2287982135344,2007.4625494439908,1084.685641407586,1031.694220040599,2570.6395969245254,675.2611185834304,1249.4872787583915,2706.075082485485,1680.9300952745616,1575.2074589654198
960,104.55571982627697,529.610879094281,1597.5212086795245,1221.140960152721,1098.4343665849715,1266.119339788794,3340.379076183283,1661.8407220680585,1666.8099542491461,721.2762643691372,1349.9940222373855,2433.062266449888,2142.345045598305,1903.7423326970588,3251.31590677189,2033.2245668634737,1062.1986871145798,1200.2159397875428,2600.44890775157,611.3167938909953,1233.5889048826507,2701.441934917884,1674.9616551523163,1606.5086070591522
1020,141.43536590611345,540.3531682023413,1508.4659696932904,1366.4574240102027,1174.4503762137103,1115.1490497511918,3395.1872202430964,1712.5944273450823,1626.1450085003137,925.5621336613603,1268.805774694587,2442.001274741593,2146.232064023314,1985.197281127609,3245.72424795494,2030.8722996141078,1080.2029838497524,1204.190792378052,2614.634557973115,659.9709716974547,1259.4470820182526,2748.2463945043355,1808.8738177669657,1706.4184829851085
1080,179.3243427363115,513.0236704395662,1455.5498521864592,1318.4783677414225,1134.3113339099436,1094.3383238231559,3458.7512505716586,1818.3182270060402,1611.6332678983144,1104.4843077513476,1270.1480208447176,2428.3334462633843,2338.134999932123,2035.1718109629314,3254.111443916835,2075.323759743913,1140.6716873398566,1242.4937719744246,2665.3736536734705,752.0883807839307,1157.310806909888,2749.345508323097,1842.0890071731526,1680.1105577765113
1140,146.44713570980278,388.9553213783007,1423.0264410988561,1304.4866830899746,1098.3193823501126,1092.1634126103704,3471.8372681378387,1793.7664951499364,1616.792477629151,1102.0532229409346,1282.0999985727797,2444.784614250519,2373.537330169528,2051.719075376738,3297.37650974393,2090.9109349424853,1092.4672410612764,1333.0098633726163,2717.5889447234485,735.273527478655,1344.1049463419638,2792.229500811893,1717.7489756709167,1734.2824943055339
1200,85.4455821308719,284.42032312211484,1458.9535692115926,1401.587119055933,937.8762078025579,1163.7124284064678,3359.858469752015,1835.0113285630935,1618.6670057293495,1044.6725432000346,1272.347379555449,2494.064827743702,2389.7830394991283,2033.5624434919287,3241.5622790899515,2078.783706166568,1086.25069726267,1223.9012834867715,2706.385180260539,851.235770801705,1420.4492541962163,2950.2590730361553,2056.687136978757,1812.8953444723084
