,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
0,9420,9540,120,154.84291350094014,154.84291350094014,14.670115872746806,664.1365469602171,678.8066628329639,14.670115872746806,261.67848977895267,261.67848977895267
0,39180,39240,60,837.0006763031834,837.0006763031834,13.657526907551983,4784.809483798453,4798.467010706005,13.657526907551983,195.85055822200195,195.85055822200195
0,39480,39660,180,783.8106481630224,782.0677159890955,10.627851739720427,4844.613205136044,4855.241056875764,10.627851739720427,281.0772162530152,284.54268409789677
0,39900,40260,360,791.6015706207269,803.5324664997563,51.742748153461434,4884.239947215652,4935.982695369114,51.742748153461434,313.12258211375564,313.72758366570156
0,40740,45300,4560,631.949373521645,651.4980891339733,775.987130829626,4960.838233922431,5736.825364752057,775.987130829626,308.5472360313708,303.0165656155173
0,45540,45660,120,887.7695410056212,887.7695410056212,14.393004228342761,5766.356108933984,5780.7491131623265,14.393004228342761,209.27868769398683,209.27868769398683
0,45840,45960,120,787.8552512292406,787.8552512292406,4.745983060868639,5799.788073845723,5804.534056906592,4.745983060868639,155.77276179577564,155.77276179577564
0,46140,48540,2400,793.984781490734,810.7619353220637,422.5875165634561,5813.856416602233,6236.4439331656895,422.5875165634561,233.05871034479168,234.08263848348514
0,50040,50820,780,948.8020800547379,968.4308798435621,128.90294171711957,6513.128754373889,6642.031696091009,128.90294171711957,316.75100654499624,350.14232078519757
0,51600,51960,360,1002.387977834246,1035.939821680566,26.372009404463824,6757.125044584365,6783.497053988829,26.372009404463824,600.8585364217378,612.8021739377705
0,53400,54720,1320,904.385174141364,894.6907850706832,353.600556895728,7025.390118694878,7378.990675590606,353.600556895728,234.95235954019756,235.07693464233117
0,56940,72300,15360,942.813807415092,950.229095254861,8944.741425643433,8495.695158955785,17440.436584599218,8944.741425643433,232.30128757408872,220.04777948474168
0,4800,4860,60,85.92604021843245,85.92604021843245,171.53626536938827,24001.290792357868,24172.827057727256,171.53626536938827,346.5124600779777,346.5124600779777
0,16620,17520,900,219.71492391614188,226.60139911843544,4039.4039926053665,59085.31969025519,63124.72368286056,4039.4039926053665,275.0257070248865,268.29287609837655
