,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled
index17_106,,,421620.0,,,717585.20918754,,,
index17_85,,,124020.0,,,4240377.328827428,,,
index17_84,,,113400.0,,,428988.9057620472,,,
index17_100,,,7560.0,,,17641.17160159374,,,
index17_104,,,72300.0,,,17440.436584599218,,,
index17_103,,,236700.0,,,200464.4588109391,,,
index17_87,,,51960.0,,,183816.46696063282,,,
index17_96,,,15960.0,,,26802.884073859746,,,
index17_86,,,17760.0,,,5117.597294961763,,,
ew0114_2,,,73260.0,,,976680.3728113021,,,
index17_91,,,28920.0,,,21501.74987316759,,,
index17_101,,,82680.0,,,98784.5177339212,,,
index17_99,,,69840.0,,,167235.4501994439,,,
index17_102,,,223920.0,,,479039.9953077165,,,
index17_94,,,31140.0,,,113522.6436967136,,,
index17_89,,,80460.0,,,87258.40893838303,,,
index17_105,,,69780.0,,,62099.25241354578,,,
index17_93,,,74520.0,,,174084.83101755797,,,
index17_95,,,237180.0,,,1564146.7380003636,,,
index17_88,,,73080.0,,,145032.6599248028,,,
index17_98,,,52920.0,,,48029.11222176447,,,
index17_92,,,16200.0,,,17228.313326817242,,,
index17_97,,,38340.0,,,23700.19244387762,,,
ew0112_107,,,627540.0,,,3834213.1949490122,,,
