,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
0,6780,22260,15480,4872.076490814655,6033.055990123788,81550.6109252476,35720.35083643205,117270.96176167965,81550.6109252476,1626.6333720321998,1635.6112193337824
0,1860,3240,1380,24359.270682496506,24358.189610878966,7905.055384389831,10662.849991887488,18567.90537627732,7905.055384389831,1040.3747813672067,868.6868615458109
0,4560,6540,1980,29631.737788617356,29924.15976316403,10406.124977409436,26247.88726493692,36654.012242346354,10406.124977409436,943.6409693101328,777.3610583697315
0,7620,22560,14940,40554.32504809942,41411.63248732188,72010.15073451107,41844.92535585066,113855.07609036173,72010.15073451107,1034.9215371260918,884.9126917975148
0,26640,28080,1440,44041.63475611911,44142.24540392026,6822.0956804832385,133083.14047908245,139905.23615956568,6822.0956804832385,2228.778035332723,2208.766836432361
0,28740,28980,240,43503.09345787783,43510.64917163887,1108.497397797997,143098.97945108247,144207.47684888047,1108.497397797997,2424.5846242724697,2423.476341533911
0,29460,45780,16320,43564.373212627295,44462.27393523679,92204.48387888202,146439.67252373832,238644.15640262034,92204.48387888202,735.4638666701554,644.9943977162061
0,780,7980,7200,16394.348067643346,16875.34051777829,38097.83574379776,4078.401469802852,42176.237213600616,38097.83574379776,829.565534991986,737.3934861077763
0,2160,24900,22740,41127.68013706507,42117.057059316016,104629.17744547118,9949.882715530166,114579.06016100135,104629.17744547118,1139.446225131814,1029.1158878463084
0,1380,6900,5520,33337.82359268741,32797.61531013879,28204.223005403634,7090.368325415824,35294.59133081946,28204.223005403634,1182.695617543708,1117.0758611833935
0,7200,14400,7200,43030.51193497383,43753.45710192883,36623.429044782395,36771.080215587244,73394.50926036964,36623.429044782395,1340.4518036976744,1217.9152699147594
0,22740,27000,4260,71683.96448093171,71456.737269398,22717.889927527416,116029.72361797882,138747.61354550623,22717.889927527416,1634.4983123729035,1663.2244690902041
0,27240,28560,1320,77342.55397982645,77543.11503621172,7588.354078780947,140253.8908149368,147842.24489371775,7588.354078780947,1429.4924966758563,1470.0859998544827
0,1440,7080,5640,2669.7887963665926,2926.9708072495946,26782.05220492311,6859.402592864415,33641.454797787526,26782.05220492311,857.998802261623,802.2846778543405
0,960,17340,16380,1202.7395920378763,1098.593899904942,85402.2033404848,5013.906036356124,90416.10937684093,85402.2033404848,1256.920866106565,1190.153558370495
0,18000,18420,420,939.8584170791062,947.3199852017377,2156.98264024916,93878.06740517393,96035.0500454231,2156.98264024916,2208.64777608934,2209.193595409261
0,18840,20340,1500,601.7011939475235,576.6915740669384,7863.758331422156,98272.0491656811,106135.80749710326,7863.758331422156,2057.1662630629544,2044.3099179214346
0,4680,10080,5400,18110.316595663244,17787.93307070995,35016.29813725956,32921.818147523496,67938.11628478306,35016.29813725956,1088.3256872688376,950.8129295298343
0,10320,44280,33960,43881.59573088737,26698.022861134905,216356.374262493,69435.54770653216,285791.92196902516,216356.374262493,1162.0457560946375,985.5475697472004
0,44580,50340,5760,130295.4768180327,129928.61535402239,34649.778248380346,287623.3111415543,322273.08938993467,34649.778248380346,810.7000043787287,792.1745050150764
0,2520,7740,5220,3398.053685600462,2996.4603819685044,23566.60059154179,11345.623031919089,34912.22362346088,23566.60059154179,852.8834934667251,875.2227584551309
0,1920,4800,2880,2342.0228929155805,2303.3028946149034,12416.324999185284,8279.464002085444,20695.78900127073,12416.324999185284,1184.046205615184,1110.1227115598617
0,4920,8040,3120,2414.149401925138,2324.2442263118983,13387.630775051846,21241.47951175771,34629.110286809555,13387.630775051846,1188.4990089628743,1220.492832583879
