,wi933014_37,wi933014_14,wi933014_75,wi933014_24,wi933014_29,wi933014_63,wi933014_13,wi933014_7,wi933014_56,wi933014_51,wi933014_41,wi933014_31,wi933014_73,wi933014_30,wi933014_72,wi933014_36,wi933014_23,wi933014_16,wi933014_9,wi933014_42,wi933014_11,wi933014_67,wi933014_43,wi933014_15,wi933014_65,wi933014_28,wi933014_60,wi933014_64,wi933014_26,wi933014_49,wi933014_48,wi933014_32,ew0114_2,wi933014_50,wi933014_19,wi933014_17,wi933014_22,wi933014_55,wi933014_47,wi933014_81,wi933014_33,wi933014_38,wi933014_40,wi933014_34,wi933014_39,wi933014_58,wi933014_8,wi933014_35,wi933014_18,index17_95,wi933014_61,wi933014_52,wi933014_69,wi933014_59,ew0007_82,wi933014_74,wi933014_70,wi933014_54,wi933014_66,wi933014_10,wi933014_53,wi933014_80,wi933014_6,wi933014_27,wi933014_57,wi933014_62
0,16.068511894920608,41.14166071383309,40.04521635128305,24.02747831187276,14.617982402214938,66.29653287237103,5.241254112660542,40.613926969929736,18.97693860336202,20.23164010255705,25.697793624238116,14.359604336737466,30.8648084340966,26.71841805840118,92.37589473375307,35.378456346150585,32.5320293422224,49.28251031333169,36.38400793850475,25.76923061819814,25.074347997749594,88.46333928825952,31.545073929372652,51.364837044936976,44.024974388130886,11.731454775434727,62.14216979868168,25.662615646161466,29.978362813115613,16.181450156776403,32.60545831930869,11.583225522988291,56.907667631781344,35.37880007775763,17.45733204899639,12.342431129676832,56.55539785048923,53.85750923964071,28.776987674956494,39.77429499050699,23.47640229647923,34.26922881241507,79.17817764601685,31.850970802420925,4.017355150915784,31.13756073103121,40.331894619157865,25.265199365127373,100.63253341707035,53.180888824011525,53.59930606388096,33.28208254542435,41.991824971996955,40.02535420725094,72.6888162342548,40.17504949868174,26.917695652289982,38.77773803982307,41.898064210000356,55.014153197049815,31.194363339492597,62.556097747242305,39.905846448973094,24.111960469303835,17.707702556923703,35.78125886243642
60,178.36998916286632,4987.859867769957,4806.699817681619,1453.4778762011656,1212.60506747483,36.99819720256602,1567.3042320956677,99.44669854769619,65.21163001552907,42.227351812937336,15.766110214030789,84.41402184785552,39.59772534158754,1945.6423103680668,5244.225971785229,3036.304486459874,84.77438765352079,106.44740054969256,56.50107108806514,133.1188852889923,69.75907115447697,1057.2314976194311,67.64429840643817,59.96733321646408,51.09833821815987,126.08720921858446,113.75648227863992,5738.854268142553,126.84102885381586,33.52350796103788,5901.377449254615,77.92570372491747,877.5488034727279,6222.527181768476,64.24251739526704,113.20010459232411,104.61891229485875,5954.128128632034,71.43426632431684,4373.952632415188,141.05246971647406,3829.213163397479,76.03680846159362,2533.02084598639,1479.6588393739971,6353.834016188534,7321.317970844369,25.231073750918313,66.33717978529177,140.33255746354575,50.33540180431807,71.80180761806172,87.7943300156164,5196.57091470631,5165.959777640877,31.316610548834003,68.33132976570273,71.47522526728399,8285.97520013143,50.444803939904375,5383.698314126916,81.01608447501536,38.81124933037056,107.23832639524656,5035.957386360902,5.775409222386249
120,159.98314764589492,8099.2406103799,6565.967875817629,1803.6967353049615,3739.043031224896,5282.893389663074,3808.324993789865,56.011836352764774,6426.853399324755,37.809218998531,151.0528156925573,145.69301247122235,198.55662690560047,2513.501743888347,5262.790591284048,4687.073195477404,139.42491844204594,66.1398752103537,122.52689455365001,198.13757609502136,179.01549318234774,1809.913970391407,4120.141991216368,69.49839265880323,230.08692238714855,70.10895522429311,165.79553847578245,2796.638726235199,142.04803785928814,6167.568181145005,6244.489192707955,118.10406498037192,4058.4512759879976,4456.493146193389,187.55051098957176,93.40124451101232,98.14937369574842,4619.958713572397,3558.1377712539656,7561.818644546966,1445.137090633439,5540.148991959841,45.75009643219118,2947.4218623291054,1731.033152435289,8773.979897191957,11693.373343846833,148.86428478526682,285.5595964901421,145.73095933815773,99.0083562848681,136.75968338028298,72.20013268123041,6228.137947301305,8531.481178016598,192.7891785279564,43.41214280019423,144.66094400775495,9327.456194611948,249.39339505461507,4003.3353435644644,149.34177051849053,101.06633150572779,2897.0413314807215,6034.865884091003,13.843187651206499
180,69.65073097244638,12692.139889603952,7184.185705810315,2316.3851466515284,7113.260479854337,3059.8605262732217,4765.939210076705,135.92794856776797,6784.54401652413,5824.313038074954,56.360431624186845,132.51235390000056,272.5816670866499,2835.9557629833753,9136.45167498289,6484.63591596509,202.72395110349123,8.071310318905693,150.43368539687768,186.41152804513078,88.4834525321567,1849.3083261593288,3681.90119314464,213.68147487633854,88.77063632070441,1923.2120924011576,177.15508377644449,2567.4893392706645,141.4764375540373,7427.7239532701315,5648.551180840043,121.14028670110122,6083.177021720897,3364.5741371441445,86.2207175141288,57.86039255887923,118.99966492911946,3574.8991207303907,834.4833756416148,14870.735463224222,3103.2344665106875,5577.6923928186725,140.3756798975388,1999.8568933196445,1879.9100870442946,12855.699198346012,15480.830756398258,4104.3423020039845,205.56738506560868,172.18366381934632,193.36369250662406,5314.4926842440755,177.08970469917395,9483.644595969436,10079.87413814633,4918.187432876108,54.26564457755496,113.09775853299449,11077.254304013306,296.77562276054323,4257.281526311212,129.03761472237525,102.53568670900857,5105.206806819647,5611.524262920544,53.47560206094895
240,211.19171312479438,17287.839639338155,7527.467510313522,2450.8964316449046,9182.932172198696,1917.5375557201683,5226.495642901739,201.05983897697607,5747.93817797113,6277.996683467187,917.7080481376352,127.91264517920668,168.8940425712976,8320.622148758726,9724.197116106234,10683.065405317437,36.420506529629826,196.75294133540572,52.21669599767324,141.70972991160167,138.3125661952188,1907.783863419119,3750.9048945502445,11.957926191943825,105.34663442887226,2455.88655345889,196.79358324229275,2612.294402796485,34.11965083569152,8354.61015196973,5542.061743206421,240.01485765955687,7122.679379393683,2759.2996573593055,64.42872539963447,86.69579928158782,113.95489672676644,2388.5876722163603,3459.788453588308,18547.95222691126,4439.4571282339175,5852.310476555575,101.56897472214298,1797.3041337552224,2021.0928211538246,14500.97215111882,18431.666077989747,3899.2088769553925,186.9987822469146,202.21970867771387,194.65563837455633,5991.146430591895,40.50849762980806,10274.270629584207,11118.75783035887,3848.304342454169,30.682855143546554,4706.064685013416,11551.863614899154,209.08786767980502,4534.876643292453,101.83086326549514,318.4305342405172,6066.27648978398,6099.733497260257,13.946759907596766
300,329.96173663565213,18891.261777678934,7606.018634965838,2156.1045939212613,12020.369572663407,966.4378348099117,5560.158166471996,104.66193438112711,5204.622674938791,5864.0354587082265,3545.230652192699,98.96000012757922,75.82763210926038,20222.46913986754,9581.559524533119,14187.211619032674,82.81847116793342,177.88515114535417,137.3828984693156,37.01760345561144,111.46061412710473,1903.4817554085996,3835.3692580291636,158.21093974222734,72.40129237528676,2294.3464139975085,168.62913741940866,2699.9866711549025,152.64740047144852,9631.287818884102,5563.244419542524,868.0959644983574,7444.955866629118,2340.370673708213,117.50463235790852,121.5339115072682,270.38033459865784,2050.602044838199,4977.300770868337,21405.47376039445,5025.519805617361,6070.9046122892005,78.72957541965505,1683.8198188435701,2250.760571909131,14710.689774836463,20662.31975872735,3727.0040033127166,322.02389236635526,182.1310329472222,204.77166347769943,3894.125358464855,34.34585374065547,10328.645423314638,11677.468455371847,4606.517331901083,212.5169195213383,4327.57908682842,11799.759144289641,207.52859962049507,5793.687450751522,75.63321744957699,128.30015073654755,9042.076913458028,6730.785663195371,37.30289665456457
360,323.5995687071826,20124.62463190416,6837.473256244364,1880.9615540619463,15132.785714800073,240.3427478361571,5724.325237813861,38.990615223002585,4986.901815905402,5727.244017955128,6215.066399269483,5.948727363023239,74.71554482767368,23477.94033638764,9090.885726186652,18868.96742963988,64.0187622166522,199.30117748753005,69.47081854622674,141.48491692343566,178.09153749596683,1895.7419455867212,4858.964558460718,249.5287841613941,4683.845467148294,2260.770390826103,160.06199485560109,2597.10329375018,38.54085930506936,10841.143340093155,5607.736231627372,3559.720590487696,7441.557567508116,2194.3717507527736,11261.310195747657,55.20207222960947,1854.3025780343842,2340.7565734461245,5777.3746935192885,23692.620934647402,4923.204871871674,6294.768203721933,63.82430170098576,1694.0265104580967,2298.562976507224,14697.734580126576,22748.529115781934,3729.2121549621343,246.7134603828413,245.25077505291137,229.58356760246824,3999.3795654368873,67.35688610859471,10144.99563235903,11708.79697474651,6833.587566561169,112.81048196225308,4009.0847756197395,12220.503057218853,79.63987337473003,5938.594228245166,76.12776746348153,53.369869005667326,10556.15310090679,6406.833053350502,57.23653813961384
420,245.23061161110653,20573.69539935065,5555.96800881924,1721.113038452212,18841.37880670209,1041.364181268095,5808.474125659487,34.77919340025013,4915.671213412512,5362.800199775071,7753.256964784081,1772.1352820253708,216.12742720592362,24522.056145163293,8642.000183907025,20157.79356965472,4119.080123796437,397.3157612386947,97.1230824886376,143.4053279299358,149.38614876835604,2247.7153059357083,5028.995798506244,124.89409741257019,3447.1887621240153,2432.2791798724847,221.19399789142574,2912.0467204671245,149.79434493347827,11386.634000398652,5108.424837350832,3987.2622325029197,7299.501255269947,1759.788976387639,14270.995393332249,72.87632037819023,5941.319360702467,2740.4819676402954,6401.344465018368,25841.81366049943,4676.504961229352,6492.56216694858,77.71724422164637,1301.4405275519325,2425.060106320011,14581.548262286156,24836.65853675131,3841.1621186361044,335.12505721684414,264.0345224409694,213.5827371421375,3994.9949755929915,78.08097827761239,9923.844683395006,11698.77337570221,8481.293581894526,95.08695440664927,3511.3793917674016,12263.27028804629,181.94034115542678,5773.203796280528,121.16190140941718,63.472996948250085,9817.657778171688,6497.8910042378975,69.88829371784173
480,374.43369830887616,20704.002416740237,4647.821914989315,824.066672548614,18423.400590215948,1400.8407422691043,5752.673347581187,130.65951854128147,4891.797856529722,5437.731088464143,8990.573191530708,1496.544781454115,206.70968092365288,23956.937926038834,8178.441725487561,20933.734165512316,5229.157752345859,315.4348761730711,115.85912779967789,134.15599298151815,19.723806884490287,2378.483905601171,5150.447876304003,102.66779113988618,3585.216108641851,2577.5877226351795,214.4370796804661,3857.791737275181,188.4917516062548,11514.880669888698,4363.353559716163,4016.7128196782387,6974.853660199652,2019.8809946599972,15555.649274366864,113.65719772939447,9941.726523121264,2876.6181237551295,6745.235088392791,27311.668895432176,4595.171489689868,6428.648033942922,116.85236451838365,1345.5177749516347,2668.543568485746,14786.194045355982,27022.59406775774,3956.3843646964174,239.6964121347416,254.19985548264978,228.49441644505333,4032.81721265073,2144.4322482552184,9907.734869299411,11612.819045436478,10123.28682314853,136.17599109196686,3121.6098944114196,12249.485991010204,185.8276581067918,5470.1579904192,178.54085782430766,55.43160108816639,8114.115922197952,6050.144572131619,3829.264506978366
540,338.1397596893467,21444.34104898572,4594.477497425584,760.6676815363745,25924.6603984201,1758.439031217071,5840.523653189495,48.25726939393277,4889.317393270032,5419.1628775403615,9893.330041949235,2251.4332422792427,95.30760931494862,24043.4079708939,7938.751656004987,20535.366203732843,5858.827768293305,415.7594170700969,33.97656403593502,105.29648450371207,36.52647619713774,2491.8736310549134,5303.960036289748,120.16532813484902,3329.226009035255,3040.127484856928,158.24107756208085,5313.5306518412135,46.446148507915474,11310.271877683757,3637.941952066111,3743.605488463315,6248.806399519551,2283.7557809610666,16413.727172948096,90.01785643601244,12917.761071935309,3406.2753414090885,7040.399415208522,28171.572136478506,4658.479382200737,6614.644160325987,1269.1611701176769,1276.6958618062079,2677.9577425110774,14730.913183972836,28436.16556265445,4033.728515736426,232.32374181134028,276.97499282651523,239.93250227013434,4029.822041885909,3455.857717530756,9980.541497456428,11401.12153600873,11148.886644191925,58.23024549996844,2873.0942096888866,12296.223067842508,256.9513626216034,5165.259295498516,178.25024342972853,66.16155883358589,5303.673711229524,5660.788447284127,843.4124264299213
