,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled
wi933014_61,,,6300.0,,,32901.40871988167,,,
wi933014_38,,,26040.0,,,134706.49175044295,,,
wi933014_57,,,6780.0,,,37212.9997048775,,,
wi933014_13,,,20520.0,,,107030.47423446708,,,
wi933014_23,,,112080.0,,,463546.99157655064,,,
wi933014_28,,,24540.0,,,127623.74603183642,,,
wi933014_36,,,56220.0,,,286291.50635460095,,,
wi933014_43,,,6120.0,,,33153.66327456072,,,
wi933014_52,,,7740.0,,,35615.2501385841,,,
wi933014_42,,,28740.0,,,132683.09440584856,,,
wi933014_63,,,7080.0,,,33641.454797787526,,,
wi933014_16,,,26820.0,,,157804.53824818358,,,
wi933014_51,,,8040.0,,,34629.110286809555,,,
wi933014_70,,,5460.0,,,26932.338707498282,,,
wi933014_59,,,8100.0,,,34606.530242037814,,,
wi933014_62,,,6000.0,,,29887.93763572038,,,
wi933014_39,,,37680.0,,,186826.98458527002,,,
wi933014_64,,,7440.0,,,36217.21810566255,,,
wi933014_7,,,50340.0,,,322273.08938993467,,,
wi933014_54,,,7920.0,,,35089.73201411769,,,
wi933014_24,,,24900.0,,,114579.06016100135,,,
wi933014_33,,,24420.0,,,135134.8764079642,,,
wi933014_30,,,28140.0,,,143803.89904100538,,,
wi933014_14,,,45780.0,,,238644.15640262034,,,
wi933014_67,,,7680.0,,,41944.642557250496,,,
wi933014_80,,,127860.0,,,644843.1623567566,,,
wi933014_35,,,24960.0,,,129652.13388516998,,,
wi933014_55,,,6660.0,,,30069.869815481274,,,
wi933014_81,,,192480.0,,,1013058.9778731753,,,
wi933014_10,,,31320.0,,,209593.7822876665,,,
wi933014_11,,,54900.0,,,250024.3275730048,,,
wi933014_29,,,28560.0,,,147842.24489371775,,,
wi933014_56,,,7740.0,,,34912.22362346088,,,
wi933014_60,,,7500.0,,,38579.95917115222,,,
wi933014_58,,,8100.0,,,36557.99227083872,,,
wi933014_19,,,27300.0,,,155288.9424271355,,,
wi933014_47,,,7500.0,,,30469.71631035181,,,
wi933014_26,,,24600.0,,,131465.98722328103,,,
wi933014_6,,,243060.0,,,1354143.6807286795,,,
wi933014_41,,,38160.0,,,182355.34704797628,,,
wi933014_31,,,28560.0,,,150688.786357189,,,
wi933014_8,,,546720.0,,,3886122.3765483014,,,
wi933014_72,,,8640.0,,,43422.064663661404,,,
wi933014_73,,,8820.0,,,44852.29548502159,,,
wi933014_50,,,7020.0,,,37769.21387760101,,,
ew0007_82,,,84600.0,,,407850.31316361955,,,
wi933014_40,,,60900.0,,,257763.79929636008,,,
wi933014_69,,,5040.0,,,29227.01176260523,,,
wi933014_53,,,7800.0,,,37000.652728563866,,,
wi933014_65,,,8460.0,,,33025.58468639502,,,
wi933014_32,,,34380.0,,,182005.11403050914,,,
wi933014_17,,,33600.0,,,179918.2989557392,,,
wi933014_34,,,27420.0,,,151735.4954564718,,,
wi933014_37,,,29640.0,,,156084.9365788573,,,
wi933014_15,,,18300.0,,,94033.7010418246,,,
wi933014_49,,,7620.0,,,33328.42437834841,,,
wi933014_66,,,9240.0,,,39877.74663604661,,,
wi933014_9,,,210300.0,,,1088189.215292887,,,
index17_95,,,237180.0,,,1564127.077214868,,,
wi933014_22,,,21360.0,,,106860.41489339981,,,
ew0114_2,,,73260.0,,,976697.680273634,,,
wi933014_18,,,25560.0,,,117379.81949896006,,,
wi933014_75,,,7980.0,,,42176.237213600616,,,
wi933014_27,,,26460.0,,,141018.6637936283,,,
wi933014_48,,,9540.0,,,42734.87816724828,,,
wi933014_74,,,6660.0,,,34790.67702349188,,,
