,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
0,0,29640,29640,2624.3254696018794,2153.22750255309,156083.24187579117,0.0,156083.24187579117,156083.24187579117,1845.001012212493,1830.0387451077818
0,0,45780,45780,4463.021508214847,4669.848467836806,238647.25837689525,0.0,238647.25837689525,238647.25837689525,857.5030511475524,751.723928276193
0,0,7980,7980,7246.717898138819,6276.725198170805,42184.340400596535,0.0,42184.340400596535,42184.340400596535,822.0181363046664,708.1078613510296
0,0,24900,24900,17255.074549393576,13878.763773384466,114578.46281151165,0.0,114578.46281151165,114578.46281151165,859.8115426549663,770.8483270936327
0,0,28560,28560,6116.319819123074,5410.04549824963,147846.1003646117,0.0,147846.1003646117,147846.1003646117,1124.2607552604857,1087.361233514441
0,0,7080,7080,1976.4203861175902,1542.4140235434493,33642.00132867488,0.0,33642.00132867488,33642.00132867488,862.4025633639724,873.7791139091157
0,0,20520,20520,946.2404932293387,913.1791875514124,107025.707588514,0.0,107025.707588514,107025.707588514,1414.8470352366655,1199.2917617094995
0,0,50340,50340,13199.778245619853,14357.846465511344,322274.11216184904,0.0,322274.11216184904,322274.11216184904,1241.1831148521765,1175.68492068789
0,0,7740,7740,2225.0642151542415,2273.963860768217,34919.63237041971,0.0,34919.63237041971,34919.63237041971,893.5745208722414,956.0302455079388
0,0,8040,8040,2343.193965491709,2349.7238717885048,34639.88712058588,0.0,34639.88712058588,34639.88712058588,1112.886783122594,1128.735707852924
0,0,38160,38160,9203.949638109523,10437.566808540641,182361.37809045517,0.0,182361.37809045517,182361.37809045517,5371.521745754116,5350.2095685235945
0,0,28560,28560,10659.479880786175,6738.7945078820085,150681.47585685595,0.0,150681.47585685595,150681.47585685595,787.065736613696,746.8965713348479
0,0,8820,8820,4806.585687461083,4269.996728653882,44869.3248552632,0.0,44869.3248552632,44869.3248552632,1127.5543981893793,972.8012007770149
0,0,28140,28140,9739.322464238583,10115.700219411146,143803.95278542102,0.0,143803.95278542102,143803.95278542102,1114.197310315601,845.747680548719
0,0,8640,8640,5473.361966867731,5650.107021396083,43420.24228030915,0.0,43420.24228030915,43420.24228030915,889.4460167541233,826.7883564307836
0,0,56220,56220,44659.583832780096,52261.50127297198,286288.1576595227,0.0,286288.1576595227,286288.1576595227,929.2955570427846,847.4337862588299
0,0,112080,112080,77497.37233431378,50663.71361843863,463554.86581859225,0.0,463554.86581859225,463554.86581859225,7835.375711678835,1299.5074177747838
0,0,26820,26820,4765.704090081447,4729.046661075784,157808.63037837777,0.0,157808.63037837777,157808.63037837777,868.8298212695768,853.4567013296595
0,0,210300,210300,63680.746448169346,15467.965735442715,1088191.0409190103,0.0,1088191.0409190103,1088191.0409190103,1057.8879475943847,910.2762159119927
0,0,28740,28740,10626.275645838143,12846.35478211257,132674.04072564363,0.0,132674.04072564363,132674.04072564363,2455.9803175271886,2214.642916785513
0,0,54900,54900,81917.88687665484,80709.90734774627,250040.65128142753,0.0,250040.65128142753,250040.65128142753,3371.5514507542184,2644.4771534768224
0,0,7680,7680,1347.2630850850792,846.8233449279203,41945.84080532911,0.0,41945.84080532911,41945.84080532911,1924.4481484515088,1894.9101163105302
0,0,6120,6120,503.3962813737234,403.3433477186404,33163.71966614456,0.0,33163.71966614456,33163.71966614456,1590.5386405076813,1603.3171690600675
0,0,18300,18300,3797.2884992330473,3819.045338426526,94033.7010418246,0.0,94033.7010418246,94033.7010418246,866.9484777492291,791.3204551755754
0,0,8460,8460,3496.5807600747607,3703.791454326248,33025.725205152165,0.0,33025.725205152165,33025.725205152165,1006.5927584906931,910.4519697779716
0,0,24540,24540,6392.041987980861,6462.704192697302,127632.3919906018,0.0,127632.3919906018,127632.3919906018,1030.4834234483324,946.8476435082013
0,0,7500,7500,5835.676816688044,7182.357016248311,38585.79397551829,0.0,38585.79397551829,38585.79397551829,1017.6134759633503,859.0969048651582
0,0,7440,7440,3704.578930888107,3867.6192579576045,36218.4350730355,0.0,36218.4350730355,36218.4350730355,911.5498816692435,797.8911951006496
0,0,24600,24600,12485.240846419258,15493.039404434623,131454.00824499832,0.0,131454.00824499832,131454.00824499832,1256.380008629607,1062.48487924634
0,0,7620,7620,6853.21628411889,6934.180308632226,33325.38220568215,0.0,33325.38220568215,33325.38220568215,1400.755360395707,1302.9745073708814
0,0,9540,9540,3199.0275765053807,2741.885752823085,42731.34205487481,0.0,42731.34205487481,42731.34205487481,799.6001567659449,733.6832773427768
0,0,34380,34380,2717.3604453992134,2616.038527702774,182002.59751849945,0.0,182002.59751849945,182002.59751849945,1679.4784637310534,1689.2528903064724
0,0,73260,73260,305843.99176528916,235869.32454637444,976697.680273634,0.0,976697.680273634,976697.680273634,10686.671619517001,3532.247959497087
0,0,7020,7020,2285.5415831725854,2488.8745615723747,37759.62264789926,0.0,37759.62264789926,37759.62264789926,757.2347471215259,687.598736394689
0,0,27300,27300,47381.932161323035,42422.782555953,155285.8339011673,0.0,155285.8339011673,155285.8339011673,769.6748690519904,664.9974869243204
0,0,33600,33600,59169.38560665032,19568.135184449224,179923.3160413794,0.0,179923.3160413794,179923.3160413794,2211.0176817275237,1332.4558984530554
0,0,21360,21360,14617.278481231106,10676.397693065664,106860.41489339981,0.0,106860.41489339981,106860.41489339981,1072.2180931306325,1046.5727622044749
0,0,6660,6660,4053.2381129743676,4299.785446356217,30061.817485242766,0.0,30061.817485242766,30061.817485242766,1328.4739096704443,1210.887333731812
0,0,7500,7500,2290.0220688126374,2126.1514175330617,30477.26428275972,0.0,30477.26428275972,30477.26428275972,810.0472307291949,715.3552719928473
0,0,192480,192480,146222.18829542826,85640.66571300897,1013062.1097775281,0.0,1013062.1097775281,1013062.1097775281,1004.9015195780042,902.8922411233518
0,0,24420,24420,2903.3542039725494,2968.8244666705264,135139.2128242379,0.0,135139.2128242379,135139.2128242379,1212.8654704009546,1051.664240506437
0,0,26040,26040,18121.720185820974,16542.40165911615,134713.64776426757,0.0,134713.64776426757,134713.64776426757,867.5651132346038,826.2837392722558
0,0,60900,60900,4564.971785842134,4102.7037576291195,257762.8391154236,0.0,257762.8391154236,257762.8391154236,4076.978713868689,3639.721771805959
0,0,27420,27420,2375.415346845848,1829.6276248648937,151734.93554152307,0.0,151734.93554152307,151734.93554152307,950.1014730883486,920.3018032161888
0,0,37680,37680,2322.736345872284,1800.98448749327,186828.91074168723,0.0,186828.91074168723,186828.91074168723,1643.026867410293,1564.6071506138996
0,0,8100,8100,4670.00083467607,4872.222235564911,36546.85767167103,0.0,36546.85767167103,36546.85767167103,745.2210506786673,725.4096491350476
0,0,24960,24960,2813.111282636548,2825.5301389361566,129648.10532024316,0.0,129648.10532024316,129648.10532024316,1874.4609427883904,1781.539660535912
0,0,25560,25560,7484.831078510384,6649.9445122886045,117389.96945575213,0.0,117389.96945575213,117389.96945575213,1410.3369651696096,873.4873314866651
0,0,237180,237180,207387.6060062713,137676.4183342759,1564145.1889538022,0.0,1564145.1889538022,1564145.1889538022,38086.76318122274,8308.24154058701
0,0,6300,6300,2022.0749350098868,2598.9893713725537,32905.87933633689,0.0,32905.87933633689,32905.87933633689,996.8036502388004,689.0806507581747
0,0,7740,7740,3835.699812316113,2683.671122281167,35624.25731292636,0.0,35624.25731292636,35624.25731292636,905.9920335727155,883.8076711917438
0,0,5040,5040,2988.4604640728157,3295.6779646232953,29235.36949546735,0.0,29235.36949546735,29235.36949546735,1087.3548248005263,971.9314405487296
0,0,8100,8100,5709.610607836787,5128.361585063932,34600.08104207677,0.0,34600.08104207677,34600.08104207677,1346.9149413858747,1446.1635586997425
