,start,end,duration,mean_error,median_error,distance,start_distance,end_distance,distance_traveled,mean_variance,median_variance
0,24900,25140,240,2096.616544685949,2065.6844231735586,1096.8548877047142,124881.91357474429,125978.768462449,1096.8548877047142,494.8661551202197,495.21154337981443
0,27600,29280,1680,1649.9621668692125,1584.8151248015597,7915.282932671427,137661.26487502316,145576.5478076946,7915.282932671427,537.653795167638,538.4205104396076
0,30120,30300,180,2427.1504084200346,2418.094841745413,833.5781399054977,149537.40062818586,150370.97876809136,833.5781399054977,593.1810370940617,585.531680802074
0,35940,36960,1020,4557.753548132127,4470.891040482319,4853.927010446292,176650.25721078517,181504.18422123147,4853.927010446292,691.0174790548335,694.5702321187642
0,40560,40740,180,6847.489119527517,6866.33660531157,1230.9419143086416,201530.78503243055,202761.7269467392,1230.9419143086416,840.8828530418126,841.4366425830124
0,41520,45780,4260,6969.019779638982,7661.757199759522,30241.62457371055,208405.6338031847,238647.25837689525,30241.62457371055,589.406895760712,597.6351101440808
0,34860,36180,1320,8654.202631760927,8659.666874872366,8126.667011879559,229031.94290554346,237158.60991742302,8126.667011879559,645.4458302567539,636.3208689363616
0,36480,37680,1200,7794.4042622986235,7713.320582877168,7306.239116297889,239029.86114516572,246336.1002614636,7306.239116297889,649.1973186667626,651.6403395816858
0,45840,46980,1140,17655.844689550624,17886.097008701105,6944.02482157707,295087.33838370396,302031.363205281,6944.02482157707,913.3752435219609,917.7389729870322
0,29880,31500,1620,59214.982801697246,59159.913556276726,8165.6077854073665,149189.73241182914,157355.3401972365,8165.6077854073665,553.5864871069754,567.5526614581423
0,32400,33540,1140,68663.98216357006,69069.08291363111,5730.293255871569,161813.97142490593,167544.2646807775,5730.293255871569,613.9188031804708,611.2076592707455
0,34080,34320,240,70791.25375843482,70769.4496955152,1283.9760296189343,170196.08262697718,171480.0586565961,1283.9760296189343,578.3739742005732,579.5718402091054
0,34440,36420,1980,75344.80817448159,75725.53082433996,9974.889190098416,171985.38132233976,181960.27051243818,9974.889190098416,643.9552984928554,660.794365656963
0,36780,46320,9540,71637.30208155159,71356.1885562032,49540.09479903345,183821.72864597995,233361.8234450134,49540.09479903345,533.2446367474168,519.1753608510186
0,54420,56220,1800,73061.52945328916,72845.9200672039,9633.33243416308,276654.82522535964,286288.1576595227,9633.33243416308,693.905324636089,594.0429001737
0,28560,29640,1080,1783.9080498013655,1621.3878441647125,2596.753129370991,129420.31707618105,132017.07020555204,2596.753129370991,452.4714662604659,451.85032681162124
0,40080,44100,4020,36681.90771650738,36795.04886148829,11209.879635792779,162014.98976085437,173224.86939664715,11209.879635792779,657.5962279480249,755.1121334423641
0,47400,52080,4680,41930.7854542636,41686.48375974063,24930.302360664005,186467.80454279447,211398.10690345848,24930.302360664005,794.6612896190529,767.6864462904465
0,52500,55440,2940,44505.970318625456,44356.29630456334,13683.821894589113,213543.7659176468,227227.5878122359,13683.821894589113,850.1193324051332,850.2029990276499
0,55980,58860,2880,54859.490034359995,54419.57441602998,14321.729495686333,230515.61282304538,244837.3423187317,14321.729495686333,900.9810769037545,890.8563245011372
0,60120,60300,180,64153.90158548994,64154.154626718155,1014.0443255535793,250697.78976035677,251711.83408591035,1014.0443255535793,1255.2258866366992,1263.582571702878
0,60420,63420,3000,72520.50608845074,73326.37823872553,15574.386205696239,252402.4049140916,267976.79111978784,15574.386205696239,859.676118634033,824.5804151318085
0,63780,73140,9360,89627.56506642303,90697.26238778801,41514.64515903138,269381.2446412776,310895.88980030897,41514.64515903138,954.3554099522452,1044.114699915448
